Rank,Player,"AVG PICK","7 DAY +/-","AVG SALARY","7 DAY +/-","%ROST"
1,"Jahmyr Gibbs
DETRB",1.3,0,70.9,0.2,99.9
2,"Bijan Robinson
ATLRB",2.4,0,68,0.2,99.9
3,"Ja'Marr ChaseQ
CINWR",4.2,0,62.9,0.2,99.9
4,"Puka NacuaQ
LARWR",5.4,0,59.9,0.1,99.9
5,"Jonathan Taylor
INDRB",6.2,0,58.6,0.3,99.9
6,"Jaxon Smith-Njigba
SEAWR",6.4,0,59.7,0.2,99.9
7,"Christian McCaffreyQ
SFRB",7.7,0,56.3,0.1,99.9
8,"Amon-Ra St. Brown
DETWR",8.5,0,57.5,0.2,99.9
9,"James Cook III
BUFRB",10.1,0,54.4,0.2,99.9
10,"CeeDee Lamb
DALWR",11.6,0,51.6,0.3,99.9
11,"Justin Jefferson
MINWR",12.3,0.1,51.1,0.3,99.9
12,"De'Von Achane
MIARB",13.3,-0.2,47.6,-0.1,99.9
13,"Saquon Barkley
PHIRB",14.1,0,48.1,0.3,99.9
14,"Derrick Henry
BALRB",16.5,0,43.5,0.2,99.8
15,"Omarion Hampton
LACRB",17.8,-0.1,44,0.3,99.6
16,"Chase Brown
CINRB",17.8,-0.1,43.7,0.2,99.6
17,"Josh Allen
BUFQB",19,0.1,39.3,0.3,99.9
18,"Drake London
ATLWR",20.8,-0.1,36.3,0,99.8
19,"A.J. Brown
NEWR",21.5,-0.1,37,0.1,99.7
20,"Ashton JeantyQ
LVRB",21.6,0,37.8,0.2,99.7
21,"Trey McBride
ARITE",23.5,-0.1,33.4,-0.1,99.9
22,"Brock Bowers
LVTE",23.9,0,33.8,0.1,99.9
23,"Kenneth Walker III
KCRB",24.3,0.1,36.4,0.3,99.6
24,"Jeremiyah LoveQ
ARIRB",25.2,0.1,34,0.2,99.4
25,"Nico Collins
HOUWR",25.9,0,33.3,0.2,99.7
26,"George Pickens
DALWR",28.3,-0.1,30.4,0.1,99.7
27,"Rashee Rice
KCWR",29.2,0.1,29.3,0.2,99.6
28,"Chris Olave
NOWR",29.8,-0.1,29.5,0.1,99.4
29,"Javonte Williams
DALRB",32.4,-0.1,28.3,0.3,99.1
30,"Lamar Jackson
BALQB",33.2,0.4,25.4,0.6,99.8
31,"Kyren Williams
LARRB",34.6,-0.2,27.1,0.1,98.8
32,"Breece HallQ
NYJRB",35.7,0,25.6,0.2,98.8
33,"Malik NabersQ
NYGWR",35.8,-0.2,26.5,0,99.1
34,"DeVonta Smith
PHIWR",36.2,0,23.8,0.1,99.3
35,"Garrett Wilson
NYJWR",37.1,-0.1,22.9,-0.1,99
36,"Travis Etienne Jr.
NORB",39.3,-0.1,22.5,0.2,98.3
37,"Colston Loveland
CHITE",42.2,0.1,18.5,0,99.6
38,"Tetairoa McMillan
CARWR",43,-0.1,19.6,0.1,98.8
39,"Zay FlowersQ
BALWR",43.8,0,20.4,0.2,98.6
40,"Cam Skattebo
NYGRB",45.3,-0.3,18.4,0,98.7
41,"Emeka EgbukaQ
TBWR",45.4,-0.2,20.1,0,98.1
42,"Davante Adams
LARWR",46,-0.1,17.4,0.1,98.7
43,"Ladd McConkey
LACWR",46.3,-0.2,20.3,0.1,97.8
44,"Drake Maye
NEQB",46.5,0.1,16.5,0.3,99.4
45,"Quinshon Judkins
CLERB",47.7,-0.1,18.6,0.2,97.1
46,"Tyler WarrenQ
INDTE",51.4,0.1,12.5,0.1,99.1
47,"Jayden Daniels
WSHQB",52.5,0.3,14.9,0.3,99
48,"Joe Burrow
CINQB",52.8,0.3,14.6,0.3,98.2
49,"D'Andre SwiftQ
CHIRB",53,-0.5,16.5,0,95.9
50,"Tee HigginsQ
CINWR",53,-0.4,16.4,0.1,97.3
51,"Jaylen Waddle
DENWR",53.4,-0.4,15.5,-0.1,97
52,"Jalen Hurts
PHIQB",53.9,0.5,13.8,0.3,98.5
53,"Bucky Irving
TBRB",56.4,-0.2,14.3,0.1,96.6
54,"DJ Moore
BUFWR",58.3,-0.1,13.5,0.2,95.9
