"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Jahmyr Gibbs","RB","DET",6,370,13.5,0.776,356,387,291,300,283,1,1,2,1,"1",24,3.03,61.5,4,3
"Bijan Robinson","RB","ATL",11,369,20.4,28.2,347,394,290,291,290,2,2,1,2,"2",24,2.34,57.9,16,3
"Christian McCaffrey","RB","SF",8,341,8.74,28.8,330,352,262,274,247,3,3,3,3,"3",30,8.09,55.7,1,9
"Puka Nacua","WR","LAR",11,355,13,8.75,338,372,240,261,224,4,4,6,1,"1",25,5.9,52.9,1,3
"Jonathan Taylor","RB","IND",13,312,20.7,0.832,284,337,233,228,233,5,8,5,4,"3",27,11,50.7,28,6
"Devon Achane","RB","MIA",6,311,23.4,28.4,284,342,232,228,238,6,9,4,5,"4",24,13.2,43.9,45,3
"Ja'Marr Chase","WR","CIN",6,347,16.6,20.8,329,368,232,252,220,7,5,7,2,"1",26,5.82,60,4,5
"Jaxon Smith-Njigba","WR","SEA",11,326,13.5,8.45,307,340,211,229,192,8,7,11,3,"2",24,11.5,50.6,2,3
"Ashton Jeanty","RB","LVR",13,283,19.9,0.961,263,313,204,207,208,9,10,8,6,"4",22,13.6,46.4,25,1
"Chase Brown","RB","CIN",6,282,20.9,2.23,261,306,203,205,202,10,12,9,7,"4",26,20.8,37.2,29,3
"Amon-Ra St. Brown","WR","DET",6,317,2.63,39.1,315,321,202,237,174,11,6,16,4,"3",26,11.5,50.5,1,5
"James Cook","RB","BUF",7,280,15.8,16,263,302,201,207,198,12,11,10,8,"5",26,15.6,43.5,12,4
"Saquon Barkley","RB","PHI",10,264,14.9,1.08,242,280,185,186,175,13,13,15,9,"5",29,15.9,45.5,10,8
"Omarion Hampton","RB","LAC",7,263,21.2,1.07,236,283,184,179,178,14,15,13,10,"5",23,25.1,37.9,41,1
"Derrick Henry","RB","BAL",13,261,19.2,5.21,239,288,182,183,183,15,14,12,11,"5",32,20.5,39,30,10
"Josh Jacobs","RB","GB",11,256,19.3,3.04,234,277,177,178,172,16,16,18,12,"5",28,31.3,32,32,7
"Jeremiyah Love","RB","ARI",14,253,24.9,3.66,223,277,174,166,173,17,21,17,13,"6",21,37.2,46.1,54,0
"Kenneth Walker III","RB","KC",5,250,26.6,0.926,218,275,171,162,170,18,23,20,14,"6",25,40.3,38.4,64,4
"Breece Hall","RB","NYJ",13,249,22,2.23,218,274,170,162,169,19,24,22,15,"6",25,34.4,25,42,4
"Cam Skattebo","RB","NYG",8,246,18.7,3.26,225,275,167,169,170,20,19,21,16,"6",24,52.2,17.3,38,1
"Kyren Williams","RB","LAR",11,243,8.81,5.5,231,255,164,175,150,21,17,28,17,"6",25,30.8,29.7,3,4
"Drake London","WR","ATL",11,278,34,4.2,237,326,163,160,178,22,26,14,5,"4",24,19.6,37.3,41,4
"Travis Etienne","RB","NO",8,238,16.1,2.93,221,261,159,165,156,24,22,26,18,"6",27,56.3,24.8,26,5
"Justin Jefferson","WR","MIN",6,274,30.5,2.02,246,317,159,168,170,23,20,19,6,"4",27,19.5,46.4,28,6
"CeeDee Lamb","WR","DAL",14,272,18.8,11.8,252,296,157,175,148,25,18,29,7,"4",27,16.4,46.8,8,6
"Javonte Williams","RB","DAL",14,235,28,0.36,214,271,156,158,167,26,27,23,19,"6",26,52.9,25.8,67,5
"Bucky Irving","RB","TB",10,234,22.7,13.5,216,270,155,160,166,27,25,24,20,"7",23,44.7,15.5,48,2
"Rashee Rice","WR","KC",5,260,27.5,6.11,235,300,145,158,153,28,28,27,8,"4",26,37,28.6,43,3
"Quinshon Judkins","RB","CLE",11,221,26.2,8.31,199,263,142,143,158,29,32,25,21,"8",22,61.1,16.6,68,1
"Chris Olave","WR","NO",8,254,30.4,0.196,214,286,139,137,139,30,38,32,9,"4",26,43.6,28.6,45,4
"George Pickens","WR","DAL",14,254,31.6,1.4,226,292,139,148,144,31,29,30,10,"5",25,35.5,28.8,34,4
"A.J. Brown","WR","NE",11,253,24.1,7.42,221,280,138,143,133,32,31,34,11,"5",29,27.3,31.5,25,7
"Trey McBride","TE","ARI",14,272,18.8,28.8,253,296,137,137,136,33,39,33,1,"1",26,25.8,35.1,16,4
"D'Andre Swift","RB","CHI",10,213,17.6,1.53,191,235,134,134,130,34,42,35,22,"8",27,57.3,16.8,22,6
"TreVeyon Henderson","RB","NE",11,211,22.8,1.28,196,248,132,140,144,35,35,31,23,"8",23,62.4,14.5,59,1
"Bhayshul Tuten","RB","JAC",7,210,11.2,12.6,200,223,131,144,118,36,30,39,24,"9",24,76.1,11.7,13,1
"Nico Collins","WR","HOU",8,245,22.4,3.16,212,268,130,134,121,37,41,36,12,"5",27,25.3,32.1,15,5
"Zay Flowers","WR","BAL",13,242,19.4,0.192,220,262,127,143,115,38,33,42,13,"5",25,51,17.6,22,3
"Garrett Wilson","WR","NYJ",13,242,16,6.98,218,257,127,140,109,39,34,44,14,"5",25,46,23.5,9,4
"Josh Allen","QB","BUF",7,436,16,38.5,420,458,120,132,94.2,40,43,56,1,"1",30,18.8,35.7,1,8
"DeVonta Smith","WR","PHI",10,235,13.4,2.73,215,249,120,137,101,41,37,50,15,"5",27,49.8,24.4,11,5
"David Montgomery","RB","HOU",8,197,16.2,4.64,183,223,118,127,118,42,47,38,25,"9",29,79.3,19.9,35,7
"Malik Nabers","WR","NYG",8,232,22.2,2.97,217,267,117,139,119,43,36,37,16,"6",22,26.4,24.4,49,2
"Jaylen Warren","RB","PIT",9,193,8.65,5.98,185,203,114,129,98.1,45,46,52,26,"9",27,91.9,9.63,1,4
"Tetairoa McMillan","WR","CAR",5,229,19.7,2.77,208,258,114,131,111,44,44,43,17,"6",23,47.9,20.5,20,1
"Emeka Egbuka","WR","TB",10,226,23.2,3.55,194,256,111,116,109,46,52,46,18,"6",23,59.1,18.3,40,1
"RJ Harvey","RB","DEN",10,187,21.6,1.72,165,213,108,109,109,49,54,45,27,"9",25,83.2,4.98,70,1
"Tee Higgins","WR","CIN",6,223,19.7,1.25,204,244,108,126,96.9,48,48,53,19,"6",27,44.8,17.4,16,6
"Brock Bowers","TE","LVR",13,243,15.6,44.1,219,257,108,103,95.9,47,60,55,2,"2",23,23.5,32.7,2,2
"Jameson Williams","WR","DET",6,222,13.2,1.56,208,242,107,131,94.2,50,45,57,20,"6",25,57.3,11.4,10,4
"Tony Pollard","RB","TEN",9,185,12.6,0.147,164,192,106,108,87.3,51,55,63,28,"9",29,92.3,10.5,9,7
"Rico Dowdle","RB","PIT",9,185,18.5,1.38,161,207,106,105,102,52,58,49,29,"9",28,84.3,8.18,33,6
