"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Jahmyr Gibbs","RB","DET",6,370,14,1.3,356,389,290,295,282,1,1,2,1,"1",24,1.68,61.6,1,3
"Bijan Robinson","RB","ATL",11,369,19.9,34.8,347,393,289,286,287,2,2,1,2,"2",24,2.15,61.4,15,3
"Christian McCaffrey","RB","SF",8,334,13.2,20.6,319,344,254,258,237,3,3,3,3,"3",30,8.07,55.9,4,9
"Puka Nacua","WR","LAR",11,352,15.9,5.24,336,373,238,252,222,4,4,5,1,"1",25,5.49,52.6,8,3
"Jonathan Taylor","RB","IND",13,313,19.2,16.2,285,332,233,224,225,5,7,4,4,"4",27,7.65,52.4,31,6
"Ja'Marr Chase","WR","CIN",6,347,16.4,21,329,368,233,245,217,6,5,8,2,"2",26,4.4,59.3,4,5
"Devon Achane","RB","MIA",6,297,26,11.9,267,327,217,206,221,7,9,6,5,"5",24,14.1,39.1,56,3
"Jaxon Smith-Njigba","WR","SEA",11,326,13.6,8.25,307,340,212,223,189,8,8,11,3,"2",24,7.43,48.6,1,3
"Ashton Jeanty","RB","LVR",13,285,25.3,3.13,263,325,205,202,219,9,12,7,6,"5",22,13.3,40.5,43,1
"Amon-Ra St. Brown","WR","DET",6,318,2.56,40.7,315,321,203,230,170,10,6,15,4,"3",26,10.2,50.7,1,5
"Chase Brown","RB","CIN",6,282,20.1,2.35,264,306,202,203,199,11,10,9,7,"5",26,18.5,37.4,35,3
"James Cook","RB","BUF",7,280,15.6,15.8,264,302,200,203,196,12,11,10,8,"6",26,11.6,46.3,18,4
"Derrick Henry","RB","BAL",13,264,17.2,1.11,250,290,184,189,183,13,13,13,9,"6",32,20.4,42.3,29,10
"Saquon Barkley","RB","PHI",10,263,14.9,2.94,242,280,183,181,173,14,14,14,10,"6",29,17,48.6,10,8
"Omarion Hampton","RB","LAC",7,260,22.7,4.29,237,292,180,176,186,15,15,12,11,"6",23,21.3,36.7,41,1
"Kenneth Walker III","RB","KC",5,256,19.6,4.23,229,275,176,169,168,16,18,18,12,"7",25,21.3,38.8,40,4
"Jeremiyah Love","RB","ARI",14,251,22.6,3.44,224,276,172,163,170,17,21,16,13,"7",21,26.7,56.9,44,0
"Josh Jacobs","RB","GB",11,248,12,4.65,234,261,168,173,155,18,16,24,14,"7",28,33.8,30.7,6,7
"Kyren Williams","RB","LAR",11,243,8.82,5.12,231,255,163,171,149,19,17,27,15,"8",25,32.5,28.8,1,4
"Drake London","WR","ATL",11,277,31.7,0.921,237,320,163,153,169,20,25,17,5,"3",25,20.9,37.2,49,4
"Justin Jefferson","WR","MIN",6,276,28.9,4.34,246,318,162,162,167,21,22,20,6,"3",27,15.9,45.7,40,6
"Javonte Williams","RB","DAL",14,238,25.9,1.84,214,271,158,153,165,22,24,22,16,"8",26,35.5,28.4,53,5
"CeeDee Lamb","WR","DAL",14,272,18.3,9.45,252,294,157,168,144,23,19,28,7,"4",27,14.8,44.9,12,6
"Cam Skattebo","RB","NYG",8,236,9.66,0.595,225,244,156,164,138,24,20,31,17,"8",24,38.9,18.9,7,1
"Travis Etienne","RB","NO",8,236,16.4,1.2,221,261,156,160,154,25,23,25,18,"8",27,46.1,22.2,32,5
"Breece Hall","RB","NYJ",13,235,41.1,3.68,173,274,155,112,168,26,51,19,19,"8",25,35.2,26.3,87,4
"Bucky Irving","RB","TB",10,231,23.6,8.5,206,266,151,146,159,27,27,23,20,"9",24,49.7,15.1,57,2
"Rashee Rice","WR","KC",5,262,27.4,6.23,233,301,148,149,151,28,26,26,8,"4",26,31.6,26.1,50,3
"Quinshon Judkins","RB","CLE",11,222,31,9.42,196,272,143,136,166,29,31,21,21,"9",22,49.2,18,74,1
"Chris Olave","WR","NO",8,256,30,1.85,214,286,142,130,136,30,38,32,9,"4",26,34.1,27.7,53,4
"George Pickens","WR","DAL",14,254,31.6,2.98,227,292,140,142,141,31,28,30,10,"4",25,27.3,28.1,56,4
"A.J. Brown","WR","NE",11,251,22.2,3.29,221,274,137,137,123,32,30,35,11,"4",29,27,33.4,26,7
"Nico Collins","WR","HOU",8,248,16.9,6.92,226,268,134,142,118,33,29,36,12,"5",27,28.3,33.2,13,5
"D'Andre Swift","RB","CHI",10,213,18.4,4.97,191,237,133,130,131,34,39,34,22,"9",27,52.9,19.5,38,6
"Trey McBride","TE","ARI",14,269,22.4,17.4,243,296,133,124,135,35,46,33,1,"1",26,24.5,31,22,4
"Bhayshul Tuten","RB","JAC",7,208,13.1,2.68,196,223,128,135,116,36,32,38,23,"10",24,60.8,13.2,22,1
"Malik Nabers","WR","NYG",8,241,19.3,1.34,218,267,127,133,117,37,34,37,13,"5",23,33.9,26.8,29,2
"TreVeyon Henderson","RB","NE",11,205,25.5,5.31,188,248,125,127,141,38,41,29,24,"10",23,63.1,12.2,62,1
"Garrett Wilson","WR","NYJ",13,240,16.4,0.587,214,256,125,130,106,39,37,45,14,"5",26,49.3,21.8,16,4
"Zay Flowers","WR","BAL",13,239,21.2,3.32,211,262,125,127,111,40,42,42,15,"5",25,41,20.5,30,3
"Tetairoa McMillan","WR","CAR",5,236,17.5,0.719,219,259,121,135,108,41,33,43,16,"5",23,46.2,18.9,19,1
"DeVonta Smith","WR","PHI",10,235,13.5,5.64,215,249,121,131,98.1,42,36,50,17,"5",27,40.4,26.1,10,5
"David Montgomery","RB","HOU",8,200,13.6,4.79,188,222,120,127,115,43,40,39,25,"10",29,58.9,19.7,19,7
"Josh Allen","QB","BUF",7,436,16,38.8,420,458,116,132,89.1,44,35,58,1,"1",30,16.7,33.5,1,8
"Jaylen Warren","RB","PIT",9,195,8.8,11.3,185,203,115,124,96.5,46,44,51,26,"11",27,82.9,10.3,3,4
"Emeka Egbuka","WR","TB",10,229,18.5,6.54,207,256,115,123,105,47,49,46,18,"6",23,43.6,19.9,23,1
"Brock Bowers","TE","LVR",13,251,8.6,47.9,242,261,115,123,99.8,45,47,49,2,"2",23,24.3,31.4,1,2
"Tee Higgins","WR","CIN",6,223,19.7,0.466,204,244,109,120,93.7,48,50,53,19,"6",27,47.1,20,21,6
"Ladd McConkey","WR","LAC",7,222,16.6,0.759,207,244,108,123,93.6,49,48,54,20,"6",24,49.4,17.6,17,2
"Jameson Williams","WR","DET",6,222,13.3,1.14,208,242,107,124,91,50,45,55,21,"6",25,64.2,11.9,11,4
"Davante Adams","WR","LAR",11,220,9.47,5.05,211,235,106,127,84,51,43,63,22,"6",33,58.2,19.9,2,12
"Rhamondre Stevenson","RB","NE",11,184,16.3,0.703,162,201,104,101,94.2,52,61,52,27,"11",28,87.3,10.7,26,5
"Rico Dowdle","RB","PIT",9,183,13,2.81,165,196,103,104,90,53,58,57,28,"11",28,89,8.82,21,6
"RJ Harvey","RB","DEN",10,180,23.9,0.647,153,213,101,92,106,55,65,44,29,"11",25,95,5.61,68,1
"D.J. Moore","WR","BUF",7,215,29.1,2.25,190,263,101,106,112,54,56,41,23,"6",29,62.7,17.8,61,8
