"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Jahmyr Gibbs","RB","DET",6,21.5,3.44,1.92,17.9,26.1,12.3,11.1,15.4,1,3,1,1,"1",24,NA,NA,97,3
"Puka Nacua","WR","LAR",11,21.8,1.41,0.908,20.3,23.3,11.4,12,11.1,2,1,2,1,"1",25,NA,NA,36,3
"Ja'Marr Chase","WR","CIN",6,20.9,1.13,0.911,19.6,22,10.5,11.3,9.86,3,2,5,2,"1",26,NA,NA,16,5
"Bijan Robinson","RB","ATL",11,19.6,1.57,1.23,17,20.7,10.4,10.3,10,4,5,4,2,"1",24,NA,NA,49,3
"Amon-Ra St. Brown","WR","DET",6,20,1.49,0.934,18.2,21.4,9.55,9.89,9.29,5,6,7,3,"2",26,NA,NA,46,5
"Christian McCaffrey","RB","SF",8,18.4,2.4,0.115,15,21.3,9.19,8.32,10.6,6,10,3,3,"1",30,NA,NA,83,9
"Jonathan Taylor","RB","IND",13,18.2,0.75,0.419,17.5,19.4,9.07,10.8,8.69,7,4,9,4,"2",27,NA,NA,11,6
"Saquon Barkley","RB","PHI",10,17.8,1.42,0.073,16.2,19.5,8.65,9.51,8.73,8,8,8,5,"2",29,NA,NA,40,8
"Jaxon Smith-Njigba","WR","SEA",11,19.1,2.41,2.71,16.3,22,8.61,8.02,9.85,9,11,6,4,"3",24,NA,NA,94,3
"Devon Achane","RB","MIA",6,17.7,1.45,0.91,15.7,19.2,8.58,9.01,8.46,10,9,11,6,"3",24,NA,NA,43,3
"Derrick Henry","RB","BAL",13,16.8,0.369,0.155,16.5,17.3,7.67,9.77,6.56,11,7,16,7,"3",32,NA,NA,3,10
"Chase Brown","RB","CIN",6,16.7,2.24,0.711,13.2,18.7,7.51,6.45,7.94,12,14,12,8,"3",26,NA,NA,74,3
"Omarion Hampton","RB","LAC",7,16,1.74,0.378,13.8,18.5,6.8,7.11,7.74,13,13,14,9,"3",23,NA,NA,59,1
"James Cook","RB","BUF",7,15.6,1.07,0.141,14.3,17.1,6.43,7.54,6.34,14,12,17,10,"4",26,NA,NA,26,4
"Ashton Jeanty","RB","LVR",13,15.5,2.95,0.868,11.3,19.2,6.28,4.62,8.5,15,24,10,11,"4",22,NA,NA,91,1
"Brock Bowers","TE","LVR",13,15.6,2.02,1.2,13.3,18.3,6.28,5.69,7.84,16,16,13,1,"1",23,NA,NA,89,2
"Chris Olave","WR","NO",8,16.4,2.5,0.141,13.4,19.8,5.9,5.1,7.67,17,20,15,5,"3",26,NA,NA,97,4
"CeeDee Lamb","WR","DAL",14,16.2,1.75,0.571,14.3,18.4,5.76,5.97,6.2,18,15,18,6,"3",27,NA,NA,74,6
"Javonte Williams","RB","DAL",14,14.6,1.87,0.355,12.2,16.6,5.42,5.45,5.91,19,19,21,12,"4",26,NA,NA,67,5
"Drake London","WR","ATL",11,15.7,2.08,0.35,13.2,18.3,5.19,4.96,6.11,20,22,19,7,"4",25,NA,NA,90,4
"Trey McBride","TE","ARI",14,14.4,1.88,2.11,12.2,16.5,5.08,4.53,6.09,21,28,20,2,"2",26,NA,NA,80,4
"Cam Skattebo","RB","NYG",8,14.2,1.84,0.0132,11.3,15.8,5.06,4.61,5.03,22,25,23,13,"4",24,NA,NA,64,1
"Travis Etienne","RB","NO",8,14.2,1.42,0.486,12.2,15.7,5.05,5.53,5.03,23,17,24,14,"5",27,NA,NA,37,5
"Justin Jefferson","WR","MIN",6,15.3,1.28,0.386,13.7,16.4,4.84,5.46,4.28,24,18,35,8,"4",27,NA,NA,23,6
"Kyren Williams","RB","LAR",11,13.7,1.48,0.264,11.6,15.3,4.56,4.9,4.63,25,23,28,15,"5",26,NA,NA,46,4
"George Pickens","WR","DAL",14,14.9,1.91,0.0509,12.1,17,4.45,3.81,4.83,26,38,26,9,"4",25,NA,NA,86,4
"Tee Higgins","WR","CIN",6,14.9,1.63,0.233,12.4,16.6,4.4,4.14,4.4,27,31,31,10,"4",27,NA,NA,64,6
"Kenneth Walker III","RB","KC",5,13.5,1.79,0.666,11.3,15,4.3,4.55,4.29,28,27,34,16,"6",25,NA,NA,60,4
"A.J. Brown","WR","NE",11,14.6,1.48,0.0125,12.3,16.1,4.17,4.01,4,29,35,39,11,"4",29,NA,NA,44,7
"Zay Flowers","WR","BAL",13,14.6,1.53,0.259,12.4,16.4,4.15,4.08,4.26,30,33,37,12,"4",25,NA,NA,53,3
"Jalen Hurts","QB","PHI",10,22.2,1.74,1.31,20,24.5,3.98,4.98,3.81,31,21,40,1,"1",28,NA,NA,26,6
"Garrett Wilson","WR","NYJ",13,14.4,1.6,0.015,12.9,16.5,3.9,4.57,4.36,32,26,32,13,"4",26,NA,NA,63,4
"Davante Adams","WR","LAR",11,14.4,1.47,0.21,12.7,16,3.88,4.39,3.81,33,29,41,14,"4",33,NA,NA,43,12
"Nico Collins","WR","HOU",8,14.1,1.35,0.102,12.5,15.5,3.67,4.18,3.37,34,30,45,15,"4",27,NA,NA,29,5
"David Montgomery","RB","HOU",8,12.8,1.7,0.0906,10.6,15.2,3.63,3.92,4.46,35,36,30,17,"6",29,NA,NA,57,7
"DeVonta Smith","WR","PHI",10,14,1.53,0.105,11.9,15.5,3.57,3.62,3.37,36,41,46,16,"5",27,NA,NA,54,5
"D'Andre Swift","RB","CHI",10,12.7,2.5,0.249,9.48,15.3,3.54,2.76,4.6,37,55,29,18,"6",27,NA,NA,87,6
"Rashee Rice","WR","KC",5,13.9,1.54,0.375,11.5,15.3,3.46,3.19,3.13,38,43,49,17,"5",26,NA,NA,57,3
"Bucky Irving","RB","TB",10,12.5,2.22,0.00999,9.65,15.5,3.29,2.94,4.78,39,49,27,19,"6",24,NA,NA,73,2
"Breece Hall","RB","NYJ",13,12.5,2.33,0.48,9.39,15.1,3.28,2.68,4.34,40,60,33,20,"6",25,NA,NA,79,4
"Tetairoa McMillan","WR","CAR",5,13.6,1.83,0.184,11.2,15.5,3.09,2.93,3.36,41,50,47,18,"5",23,NA,NA,79,1
"Colston Loveland","TE","CHI",10,12.3,1.63,0.634,10.4,14.5,2.97,2.74,4.05,42,57,38,3,"2",22,NA,NA,74,1
"Ladd McConkey","WR","LAC",7,13.4,1.78,0.952,11.4,15.7,2.91,3.08,3.58,43,47,43,19,"6",24,NA,NA,76,2
"Jaylen Warren","RB","PIT",9,12,0.975,0.141,10.4,12.6,2.8,3.65,1.91,44,40,63,21,"6",27,NA,NA,21,4
"Justin Herbert","QB","LAC",7,20.9,1.51,0.415,18.9,22.8,2.66,3.9,2.11,45,37,58,2,"1",28,NA,NA,12,6
"Rhamondre Stevenson","RB","NE",11,11.8,0.733,0.361,10.7,12.6,2.66,4.02,1.85,46,34,66,22,"7",28,NA,NA,10,5
"Dallas Goedert","TE","PHI",10,11.7,1.89,0.585,8.84,13.8,2.33,1.2,3.39,47,76,44,4,"3",31,NA,NA,86,8
"Jeremiyah Love","RB","ARI",14,11.5,0.724,0.127,10.8,12.3,2.3,4.09,1.56,48,32,73,23,"7",21,NA,NA,9,0
"Lamar Jackson","QB","BAL",13,20.5,1.58,0.12,18.6,22.7,2.25,3.62,2,49,42,60,3,"1",29,NA,NA,15,8
"Cameron Dicker","K","LAC",7,10.3,1.56,0.179,9.12,12.5,2.18,3.03,2.84,50,48,50,1,"1",26,NA,NA,67,4
"Jadarian Price","RB","SEA",11,11.3,3.85,0.459,5.85,15.6,2.17,-0.866,4.84,51,245,25,24,"7",22,NA,NA,99,0
"Josh Allen","QB","BUF",7,20.4,3.31,0.559,18.1,25.8,2.13,3.09,5.08,52,46,22,4,"1",30,NA,NA,94,8
"Brandon Aubrey","K","DAL",14,10.1,0.345,0.0631,9.78,10.6,2,3.69,0.943,53,39,93,2,"1",31,NA,NA,1,3
"Malik Nabers","WR","NYG",8,12.4,3.5,0.0115,7.03,15.9,1.95,-1.25,3.73,54,321,42,20,"6",23,NA,NA,99,2
"Emeka Egbuka","WR","TB",10,12.4,1.38,0.247,10.9,14.3,1.94,2.65,2.1,55,61,59,21,"6",23,NA,NA,31,1
"Kaimi Fairbairn","K","HOU",8,10.1,1.12,0.211,9.03,11.5,1.94,2.93,1.89,56,51,64,3,"1",32,NA,NA,27,10
"Sam LaPorta","TE","DET",6,11.1,1.1,0.0514,9.65,12,1.75,2.01,1.54,57,66,74,5,"3",25,NA,NA,29,3
"Jason Myers","K","SEA",11,9.86,0.736,0.996,9.23,10.8,1.73,3.13,1.21,58,44,82,4,"1",35,NA,NA,3,NA
"Rico Dowdle","RB","PIT",9,10.9,1.4,0.205,9.17,12.4,1.71,2.45,1.7,59,63,71,25,"7",28,NA,NA,36,6
"Jameson Williams","WR","DET",6,12.2,1.36,0.228,10.4,13.5,1.7,2.09,1.32,61,64,80,22,"6",25,NA,NA,30,4
"Tyler Warren","TE","IND",13,11,0.597,0.224,10.3,11.7,1.7,2.69,1.29,60,59,81,6,"3",24,NA,NA,6,1
"Joe Burrow","QB","CIN",6,19.8,1.99,0.46,17.8,23,1.57,2.78,2.25,62,53,55,5,"1",29,NA,NA,41,6
"Maxx Crosby","DL","LVR",13,5.8,1.57,0.606,4.38,7.35,1.56,0.874,2.18,63,83,56,1,"1",29,NA,NA,93,7
"Tony Pollard","RB","TEN",9,10.7,1.48,0.021,9.47,12.7,1.51,2.76,1.99,64,56,61,26,"7",29,NA,NA,47,7
"Bhayshul Tuten","RB","JAC",7,10.7,1.69,0.00741,8.31,12.6,1.49,1.6,1.89,65,70,65,27,"7",24,NA,NA,56,1
"Quinshon Judkins","RB","CLE",11,10.6,1.17,0.054,9.42,11.9,1.48,2.7,1.15,66,58,85,28,"7",22,NA,NA,27,1
"Luther Burden","WR","CHI",10,11.9,1.71,0.308,9.87,14,1.47,1.59,1.81,68,71,68,23,"6",22,NA,NA,70,1
"Harold Fannin","TE","CLE",11,10.8,1.55,0.511,8.95,13,1.47,1.31,2.52,67,75,53,7,"4",22,NA,NA,66,1
"MarShawn Lloyd","RB","GB",11,10.6,3.54,0.0496,6.17,15,1.43,-0.54,4.27,69,190,36,29,"7",25,NA,NA,99,2
"Aaron Jones","RB","MIN",6,10.5,1.64,0.574,8.78,12.5,1.38,2.06,1.82,70,65,67,30,"8",31,NA,NA,53,9
"Jaylen Waddle","WR","DEN",10,11.6,0.788,0.14,10.8,12.5,1.16,2.51,0.305,71,62,121,24,"6",27,NA,NA,3,5
"Trevor Lawrence","QB","JAC",7,19.4,1.33,0.216,17.9,21.3,1.11,2.89,0.621,72,52,107,6,"2",26,NA,NA,9,5
"DK Metcalf","WR","PIT",9,11.5,0.923,0.0622,10.1,12.5,1.02,1.85,0.398,73,68,113,25,"6",28,NA,NA,4,7
"George Kittle","TE","SF",8,10.3,2.23,0.26,7.7,12.9,0.963,0.057,2.47,74,123,54,8,"4",32,NA,NA,94,9
"Parker Washington","WR","JAC",7,11.4,1.64,0.0793,9.23,13.6,0.959,0.945,1.45,75,82,76,26,"6",24,NA,NA,66,3
"Myles Garrett","DL","LAR",11,5.2,1.14,0.0384,4.51,6.53,0.95,0.995,1.37,76,80,77,2,"1",30,NA,NA,68,9
"Chase Young","DL","NO",8,5.16,1.06,0.207,4.13,5.98,0.911,0.62,0.82,77,87,98,3,"1",27,NA,NA,56,6
"Dak Prescott","QB","DAL",14,19.2,0.901,0.466,17.8,20.1,0.892,2.76,-0.606,78,54,201,7,"2",33,NA,NA,3,10
"Terry McLaurin","WR","WAS",7,11.4,1.54,0.102,9.92,13.8,0.879,1.63,1.66,79,69,72,27,"7",30,NA,NA,59,7
"Blake Cashman","LB","MIN",6,6.28,4.03,0.184,3.73,11,0.854,0.187,2.56,80,112,52,1,"1",30,NA,NA,96,7
"J.K. Dobbins","RB","DEN",10,9.97,1.99,0.227,7.12,12.2,0.802,0.403,1.49,81,100,75,31,"8",27,NA,NA,70,6
"Rome Odunze","WR","CHI",10,11.3,1.86,0.32,8.91,13.5,0.778,0.627,1.36,82,85,79,28,"7",24,NA,NA,84,2
"Jake Bates","K","DET",6,8.87,2.01,0.489,6.14,10.7,0.734,0.0441,1.02,83,124,88,5,"2",27,NA,NA,93,3
"Jeffery Simmons","DL","TEN",9,4.95,1.84,0.0294,3.81,7.09,0.705,0.3,1.92,84,105,62,4,"1",29,NA,NA,98,7
"Kyle Pitts","TE","ATL",11,10,0.877,0.0702,8.79,11.2,0.703,1.15,0.709,85,78,105,9,"4",25,NA,NA,20,5
"Alex Highsmith","DL","PIT",9,4.92,1.51,0.186,3.54,6.35,0.675,0.0247,1.19,86,126,83,5,"1",29,NA,NA,86,6
"Jordyn Brooks","LB","MIA",6,6.09,4.37,0.152,2.76,11,0.671,-0.781,2.58,87,229,51,2,"1",28,NA,NA,99,6
"Travis Kelce","TE","KC",5,9.96,1.21,0.117,8.39,11.6,0.633,0.747,1.15,88,84,84,10,"4",36,NA,NA,34,13
"Chuba Hubbard","RB","CAR",5,9.74,1.83,0.23,7.28,11.5,0.575,0.569,0.817,89,90,99,32,"8",27,NA,NA,63,5
"Jack Campbell","LB","DET",6,5.94,2.88,0.0373,3.74,9.15,0.519,0.2,0.756,90,111,104,3,"1",26,NA,NA,79,3
"Juwan Johnson","TE","NO",8,9.84,1.23,0.24,8.05,11.2,0.516,0.412,0.768,91,99,103,11,"4",29,NA,NA,37,6
"Tuli Tuipulotu","DL","LAC",7,4.74,0.783,0.0667,3.97,5.29,0.489,0.463,0.129,92,94,125,6,"1",24,NA,NA,7,3
"Ernest Jones","LB","SEA",11,5.91,3.06,0.0454,3.35,9.17,0.482,-0.185,0.769,93,149,102,4,"1",26,NA,NA,88,5
"Alec Pierce","WR","IND",13,10.9,1.83,0.0804,8.19,12.9,0.457,-0.0913,0.78,94,138,100,29,"7",26,NA,NA,80,4
"Tremaine Edmunds","LB","NYG",8,5.86,2.39,0.0181,3.84,8.4,0.436,0.304,0,95,104,130,5,"1",28,NA,NA,53,8
"Baker Mayfield","QB","TB",10,18.7,0.492,0.139,18.1,19.2,0.426,3.11,-1.55,96,45,287,8,"2",31,NA,NA,1,8
"Brian Burns","DL","NYG",8,4.67,1.36,0.1,3.71,6.22,0.422,0.203,1.06,97,110,87,7,"1",28,NA,NA,81,7
"Nick Bolton","LB","KC",5,5.84,2.96,0.00821,3.78,9.23,0.418,0.24,0.836,98,108,97,6,"1",26,NA,NA,82,5
"Kamari Lassiter","DB","HOU",8,5.57,1.53,0.0547,4.32,7.23,0.416,0.00582,0.513,99,129,109,1,"1",23,NA,NA,60,2
"Fred Warner","LB","SF",8,5.83,3.04,0.113,3.54,9.24,0.41,0,0.845,100,130,96,7,"1",29,NA,NA,86,8
"Mike Evans","WR","SF",8,10.9,1.04,0.102,9.47,12,0.377,1.18,-0.113,101,77,140,30,"7",33,NA,NA,7,12
"Julian Love","DB","SEA",11,5.52,0.991,0.0114,4.58,6.38,0.362,0.257,-0.339,102,107,172,2,"1",28,NA,NA,17,7
"Marcus Jones","DB","NE",11,5.51,0.99,0.127,4.91,6.27,0.35,0.593,-0.446,103,89,181,3,"1",27,NA,NA,16,4
"Jonathon Brooks","RB","CAR",5,9.51,3.11,0.269,5.62,13.9,0.344,-1.09,3.16,104,287,48,33,"8",23,NA,NA,93,2
"Nick Bosa","DL","SF",8,4.57,1.29,0.0145,3.62,6.03,0.322,0.104,0.867,105,119,95,8,"1",28,NA,NA,76,7
"Aidan Hutchinson","DL","DET",6,4.56,0.618,0.307,3.97,5.09,0.307,0.456,-0.0773,106,95,135,9,"2",26,NA,NA,3,4
"Cedric Gray","LB","TEN",9,5.72,4.1,0.101,3.25,8.88,0.297,-0.289,0.481,107,160,111,8,"1",23,NA,NA,98,2
"Caleb Williams","QB","CHI",10,18.6,2.68,0.0259,14.4,21.2,0.287,-0.652,0.498,108,204,110,9,"2",24,NA,NA,71,2
"Isaiah Likely","TE","NYG",8,9.6,1.55,0.277,8.07,11.8,0.277,0.428,1.36,109,97,78,12,"5",26,NA,NA,63,4
"Christian Watson","WR","GB",11,10.7,1.53,0.00943,8.42,12.2,0.275,0.132,0.0947,110,116,126,31,"7",27,NA,NA,56,4
"Carnell Tate","WR","TEN",9,10.7,1.34,0.0127,9.78,12.9,0.265,1.49,0.778,111,73,101,32,"7",21,NA,NA,27,0
"Jaxson Dart","QB","NYG",8,18.5,2.97,0.127,15.1,22.8,0.261,0.13,2.13,112,117,57,10,"2",23,NA,NA,85,1
"Quentin Johnston","WR","LAC",7,10.7,1.95,0.0538,7.95,13.1,0.253,-0.333,0.96,113,168,92,33,"7",25,NA,NA,89,3
"Tyler Loop","K","BAL",13,8.38,1.03,0.0117,7.17,9.64,0.245,1.08,0,114,79,130,6,"2",25,NA,NA,17,1
"Will Reichard","K","MIN",6,8.37,2.45,0.233,5.06,10.6,0.233,-1.03,0.999,115,278,89,7,"2",25,NA,NA,97,2
"Zayne Anderson","DB","MIA",6,5.38,1.27,0.014,4.62,6.36,0.224,0.296,-0.354,116,106,173,4,"1",29,NA,NA,43,5
"Tykee Smith","DB","TB",10,5.37,2.05,0.0303,3.87,7.69,0.21,-0.446,0.973,117,184,90,5,"1",25,NA,NA,95,2
