player,team,position,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,two_pts,two_pts_sd,return_tds,return_tds_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,fg_0019,fg_0019_sd,fg_2029,fg_2029_sd,fg_3039,fg_3039_sd,fg_4049,fg_4049_sd,fg_50,fg_50_sd,xp,xp_sd,dst_int,dst_int_sd,dst_sacks,dst_sacks_sd,dst_safety,dst_safety_sd,dst_td,dst_td_sd,dst_blk,dst_blk_sd,idp_solo,idp_solo_sd,idp_sack,idp_sack_sd,idp_int,idp_int_sd,idp_pd,idp_pd_sd,idp_td,idp_td_sd,draft_year,birthdate,injury_status,injury_details,season_year,week
Jameis Winston,TB,QB,12140,weighted,307.399873179897,20.3023056605036,1.89639736965712,0.145809859788852,1.34346641615782,0.371769476160178,17.8781580889754,2.99938313058392,0.112415900071134,0.0854564344871215,0.295398778769375,0.113009211270348,0.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.0,1994-01-06,,,,15
Jameis Winston,NO,QB,12140,weighted,307.399873179897,20.3023056605036,1.89639736965712,0.145809859788852,1.34346641615782,0.371769476160178,17.8781580889754,2.99938313058392,0.112415900071134,0.0854564344871215,0.295398778769375,0.113009211270348,0.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.0,1994-01-06,,,,15
Patrick Mahomes,KC,QB,13116,weighted,288.198036636919,18.5863015951175,1.99509159229685,0.105322922493046,0.531376232973227,0.315228418780379,15.7067422666577,0.900062090953994,0.0890072094635941,0.0480646542615572,0.119128229215594,0.0533400265443011,0.04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,1995-09-17,,,,15
Drew Brees,NO,QB,4925,weighted,289.962306247064,15.8598303894371,2.11111789572569,0.123087477491365,0.450046970408643,0.269229616150578,1.21037777628665,0.976997851289693,0.0564007246863048,0.0401007018182231,0.0342226397369657,0.0206651962516013,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,1979-01-15,,,,15
Jared Goff,LAR,QB,12611,weighted,279.121568811649,17.4019443082169,1.6894880225458,0.271287065859722,0.903320807891029,0.0694756421875878,4.20913037643427,1.60031235951368,0.069832033878974,0.0381743565929248,0.190280883043682,0.0742525142174188,0.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,1994-10-14,,,,15
Matt Ryan,ATL,QB,9099,weighted,269.301047440113,21.1854333080848,1.76705025833725,0.218378002907607,0.864974166275247,0.127350152872757,6.24449104207207,1.74115432578341,0.0625927375609561,0.0419973066265783,0.266029121653358,0.103549718982196,0.19,3.04392803038868e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,1985-05-17,,,,15
Dak Prescott,DAL,QB,12620,weighted,281.012052606858,18.1105307709518,1.73306716768436,0.302794446770518,0.869807421324566,0.121605932595475,14.8689136415487,2.1732645253236,0.135947104485284,0.0913180993652607,0.131541568811649,0.052814293354924,0.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,1993-07-29,,,,15
Tom Brady,NE,QB,5848,weighted,258.670201972757,25.1575315766929,1.77366369187412,0.227655971910224,0.512771254109911,0.274329780574245,2.96783936120244,1.24633634732439,0.0700320361456146,0.0382368855185666,0.0989020666979803,0.0237246632640109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1977-08-03,,,,15
Tom Brady,TB,QB,5848,weighted,258.670201972757,25.1575315766929,1.77366369187412,0.227655971910224,0.512771254109911,0.274329780574245,2.96783936120244,1.24633634732439,0.0700320361456146,0.0382368855185666,0.0989020666979803,0.0237246632640109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1977-08-03,,,,15
Philip Rivers,LAC,QB,7394,weighted,272.726707374354,9.41559259486584,1.40412400187882,0.357705653071149,0.956744950681071,0.162040121860933,1.1089087208392,0.644185448315746,0.0052613567738039,0.0079141831547211,0.0923644903710662,0.0293863903763613,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,1981-12-08,,,,15
