"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Jared Goff","DET","QB","12611","weighted",264.796548571429,25.7495946762747,2.22075428571429,0.358700360016846,0.618822857142857,0.262651550717677,5.39998857142857,4.64447830205208,0.0318171428571429,0.0465477509556397,0.160761904761905,0.0356597134044533,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1994-10-14,NA,NA,NA,NA
"Dak Prescott","DAL","QB","12620","weighted",264.414194285714,12.575967533269,2.05082285714286,0.195326245079229,0.757954285714286,0.148800202673614,10.79264,2.13673636058383,0.0812,0.0437533140974125,0.120552380952381,0.0181495847878778,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1993-07-29,NA,NA,NA,NA
"Brock Purdy","SF","QB","15698","weighted",262.449028571429,12.465128846608,2.13729142857143,0.251778518099569,0.856285714285714,0.0883214735149852,20.4054628571429,2.09441598934326,0.267222857142857,0.161728145151132,0.2,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1999-12-27,NA,NA,NA,NA
"Patrick Mahomes","KC","QB","13116","weighted",254.009851428571,13.9852497204605,2.16372571428571,0.27073220576276,0.701245714285714,0.166069206743685,22.4975771428571,1.5534386789387,0.22592,0.144910199154947,0.0803428571428571,0.04450285240797,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-09-17,NA,NA,NA,NA
"C.J. Stroud","HOU","QB","16150","weighted",254.686034285714,11.6540354847688,1.45429714285714,0.651810939649082,0.696697142857143,0.168771337590756,13.3427085714286,1.59939622691236,0.08304,0.0449437408245459,0.3,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2001-10-03,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","weighted",242.849588571429,27.1854344126941,1.93897142857143,0.434965860160807,0.715965714285714,0.162858518404103,3.91187428571429,4.35517957352835,0.00184,0.00433918339480499,0.1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1988-02-07,NA,NA,NA,NA
"Tyler Shough","NO","QB","17039","weighted",247.96704,16.0127364111393,1.86132571428571,0.230279835436962,0.724582857142857,0.154585081274338,17.5077257142857,0.938586511662754,0.248537142857143,0.147779558796667,0.3,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,1999-09-28,NA,NA,NA,NA
"Sam Darnold","SEA","QB","13592","weighted",194.1224,108.899913569192,1.57594285714286,0.847673395460345,0.570571428571429,0.353712315395991,6.4728,3.49846035503048,0,0,0.250485714285714,0.0346667242063326,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1997-06-05,"Q","Lower Body",2026,3
"Joe Burrow","CIN","QB","14777","weighted",251.360125714286,9.65066487526558,1.96328,0.338262370544876,0.783954285714286,0.140643005736209,10.1903657142857,1.44017947962201,0.08488,0.0465100441750873,0.1,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1996-12-10,NA,NA,NA,NA
"Drake Maye","NE","QB","16580","weighted",241.01992,19.3364340281898,1.49339428571429,0.400737716508279,0.843405714285714,0.102671921236237,30.1609485714286,3.3905390800842,0.148262857142857,0.0935218561426026,0.318685714285714,0.0436508085586732,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2002-08-30,NA,NA,NA,NA
