position,team,player,proj
DST,JAX,Jaguars,10.0
DST,LAC,Chargers,8.4
DST,TEN,Titans,7.9
DST,LV,Raiders,7.8
DST,PHI,Eagles,7.5
DST,PIT,Steelers,7.4
DST,NYJ,Jets,7.0
DST,KC,Chiefs,6.5
DST,CHI,Bears,6.3
DST,MIA,Dolphins,6.0
DST,GB,Packers,6.0
DST,BUF,Bills,6.0
DST,BAL,Ravens,5.9
DST,SEA,Seahawks,5.8
DST,LA,Rams,5.7
DST,CIN,Bengals,5.7
DST,DET,Lions,5.7
DST,DEN,Broncos,5.7
DST,DAL,Cowboys,5.7
DST,ATL,Falcons,5.4
DST,HOU,Texans,5.2
DST,CAR,Panthers,4.9
DST,WAS,Commanders,4.7
DST,CLE,Browns,4.5
DST,MIN,Vikings,4.4
DST,NYG,Giants,3.9
DST,SF,49ers,3.9
DST,IND,Colts,3.8
DST,NE,Patriots,3.8
DST,NO,Saints,3.2
DST,TB,Buccaneers,3.1
DST,ARI,Cardinals,2.9
K,LAC,Cameron Dicker,10.0
K,JAX,Cam Little,9.6
K,DET,Jake Bates,9.4
K,PIT,Chris Boswell,9.2
K,CHI,Cairo Santos,9.1
K,CIN,Evan McPherson,9.1
K,MIN,Will Reichard,8.8
K,BAL,Tyler Loop,8.7
K,LV,Matt Gay,8.7
K,HOU,Ka'imi Fairbairn,8.7
K,GB,Trey Smack,8.7
K,DAL,Brandon Aubrey,8.7
K,BUF,Tyler Bass,8.7
K,IND,Spencer Shrader,8.7
K,TB,Chase McLaughlin,8.6
K,LA,Harrison Mevis,8.6
K,SEA,Jason Myers,8.5
K,PHI,Jake Elliott,8.4
K,NO,Daniel Carlson,8.4
K,NE,Andres Borregales,8.4
K,TEN,Joey Slye,8.4
K,SF,Eddy Pineiro,8.4
K,MIA,Riley Patterson,8.3
K,NYJ,Blake Grupe,8.3
K,NYG,Dominic Zvada,8.2
K,KC,Harrison Butker,8.2
K,CAR,Ryan Fitzgerald,8.1
K,DEN,Wil Lutz,7.8
K,ATL,Nick Folk,7.6
K,ARI,Chad Ryland,7.5
K,WAS,Drew Stevens,7.3
K,CLE,Andre Szmyt,7.0
