snapshot,season,week_of_paste,table,team,player,week,value
2026-09-10,2026,1,dst,JAX,,1,10.0
2026-09-10,2026,1,dst,JAX,,2,2.7
2026-09-10,2026,1,dst,JAX,,3,3.7
2026-09-10,2026,1,dst,JAX,,4,3.0
2026-09-10,2026,1,dst,JAX,,5,5.3
2026-09-10,2026,1,dst,JAX,,6,6.0
2026-09-10,2026,1,dst,JAX,,8,6.0
2026-09-10,2026,1,dst,JAX,,9,3.8
2026-09-10,2026,1,dst,JAX,,10,7.6
2026-09-10,2026,1,dst,JAX,,11,4.1
2026-09-10,2026,1,dst,JAX,,12,7.8
2026-09-10,2026,1,dst,JAX,,13,4.1
2026-09-10,2026,1,dst,JAX,,14,7.2
2026-09-10,2026,1,dst,JAX,,15,4.8
2026-09-10,2026,1,dst,JAX,,16,3.3
2026-09-10,2026,1,dst,JAX,,17,5.5
2026-09-10,2026,1,dst,JAX,,avg,5.3
2026-09-10,2026,1,dst,JAX,,playoffs,4.6
2026-09-10,2026,1,dst,LAC,,1,8.4
2026-09-10,2026,1,dst,LAC,,2,8.6
2026-09-10,2026,1,dst,LAC,,3,2.8
2026-09-10,2026,1,dst,LAC,,4,3.5
2026-09-10,2026,1,dst,LAC,,5,4.2
2026-09-10,2026,1,dst,LAC,,6,3.4
2026-09-10,2026,1,dst,LAC,,8,2.3
2026-09-10,2026,1,dst,LAC,,9,5.6
2026-09-10,2026,1,dst,LAC,,10,5.6
2026-09-10,2026,1,dst,LAC,,11,7.0
2026-09-10,2026,1,dst,LAC,,12,4.4
2026-09-10,2026,1,dst,LAC,,13,4.5
2026-09-10,2026,1,dst,LAC,,14,7.3
2026-09-10,2026,1,dst,LAC,,15,3.9
2026-09-10,2026,1,dst,LAC,,16,6.8
2026-09-10,2026,1,dst,LAC,,17,4.2
2026-09-10,2026,1,dst,LAC,,avg,5.2
2026-09-10,2026,1,dst,LAC,,playoffs,5.0
2026-09-10,2026,1,dst,TEN,,1,7.9
2026-09-10,2026,1,dst,TEN,,2,5.0
2026-09-10,2026,1,dst,TEN,,3,3.7
2026-09-10,2026,1,dst,TEN,,4,4.1
2026-09-10,2026,1,dst,TEN,,5,5.2
2026-09-10,2026,1,dst,TEN,,6,4.1
2026-09-10,2026,1,dst,TEN,,7,7.7
2026-09-10,2026,1,dst,TEN,,8,3.6
2026-09-10,2026,1,dst,TEN,,10,5.0
2026-09-10,2026,1,dst,TEN,,11,3.5
2026-09-10,2026,1,dst,TEN,,12,4.4
2026-09-10,2026,1,dst,TEN,,13,5.5
2026-09-10,2026,1,dst,TEN,,14,3.8
2026-09-10,2026,1,dst,TEN,,15,5.3
2026-09-10,2026,1,dst,TEN,,16,6.5
2026-09-10,2026,1,dst,TEN,,17,5.7
2026-09-10,2026,1,dst,TEN,,avg,5.1
2026-09-10,2026,1,dst,TEN,,playoffs,5.8
2026-09-10,2026,1,dst,LV,,1,7.8
2026-09-10,2026,1,dst,LV,,2,3.0
2026-09-10,2026,1,dst,LV,,3,4.0
2026-09-10,2026,1,dst,LV,,4,3.2
2026-09-10,2026,1,dst,LV,,5,2.6
2026-09-10,2026,1,dst,LV,,6,3.2
2026-09-10,2026,1,dst,LV,,7,2.5
2026-09-10,2026,1,dst,LV,,8,6.0
2026-09-10,2026,1,dst,LV,,9,3.8
2026-09-10,2026,1,dst,LV,,10,3.7
2026-09-10,2026,1,dst,LV,,11,3.5
2026-09-10,2026,1,dst,LV,,12,6.3
2026-09-10,2026,1,dst,LV,,14,4.7
2026-09-10,2026,1,dst,LV,,15,4.1
2026-09-10,2026,1,dst,LV,,16,6.5
2026-09-10,2026,1,dst,LV,,17,6.2
2026-09-10,2026,1,dst,LV,,avg,4.5
2026-09-10,2026,1,dst,LV,,playoffs,5.6
2026-09-10,2026,1,dst,PHI,,1,7.5
2026-09-10,2026,1,dst,PHI,,2,7.5
2026-09-10,2026,1,dst,PHI,,3,4.9
2026-09-10,2026,1,dst,PHI,,4,2.2
2026-09-10,2026,1,dst,PHI,,5,3.7
2026-09-10,2026,1,dst,PHI,,6,6.5
2026-09-10,2026,1,dst,PHI,,7,5.8
2026-09-10,2026,1,dst,PHI,,8,4.8
2026-09-10,2026,1,dst,PHI,,9,5.3
2026-09-10,2026,1,dst,PHI,,11,6.7
2026-09-10,2026,1,dst,PHI,,12,3.4
2026-09-10,2026,1,dst,PHI,,13,6.8
2026-09-10,2026,1,dst,PHI,,14,5.4
2026-09-10,2026,1,dst,PHI,,15,4.0
2026-09-10,2026,1,dst,PHI,,16,4.6
2026-09-10,2026,1,dst,PHI,,17,3.8
2026-09-10,2026,1,dst,PHI,,avg,5.2
2026-09-10,2026,1,dst,PHI,,playoffs,4.1
2026-09-10,2026,1,dst,PIT,,1,7.4
2026-09-10,2026,1,dst,PIT,,2,2.4
2026-09-10,2026,1,dst,PIT,,3,3.8
2026-09-10,2026,1,dst,PIT,,4,6.8
2026-09-10,2026,1,dst,PIT,,5,5.6
2026-09-10,2026,1,dst,PIT,,6,4.5
2026-09-10,2026,1,dst,PIT,,7,4.9
2026-09-10,2026,1,dst,PIT,,8,7.9
2026-09-10,2026,1,dst,PIT,,10,3.8
2026-09-10,2026,1,dst,PIT,,11,4.8
2026-09-10,2026,1,dst,PIT,,12,3.5
2026-09-10,2026,1,dst,PIT,,13,5.3
2026-09-10,2026,1,dst,PIT,,14,5.8
2026-09-10,2026,1,dst,PIT,,15,4.9
2026-09-10,2026,1,dst,PIT,,16,6.1
2026-09-10,2026,1,dst,PIT,,17,6.7
2026-09-10,2026,1,dst,PIT,,avg,5.3
2026-09-10,2026,1,dst,PIT,,playoffs,5.9
2026-09-10,2026,1,dst,NYJ,,1,7.0
2026-09-10,2026,1,dst,NYJ,,2,5.2
2026-09-10,2026,1,dst,NYJ,,3,3.3
2026-09-10,2026,1,dst,NYJ,,4,3.7
2026-09-10,2026,1,dst,NYJ,,5,8.0
2026-09-10,2026,1,dst,NYJ,,6,3.1
2026-09-10,2026,1,dst,NYJ,,7,8.0
2026-09-10,2026,1,dst,NYJ,,8,8.2
2026-09-10,2026,1,dst,NYJ,,9,4.0
2026-09-10,2026,1,dst,NYJ,,10,4.4
2026-09-10,2026,1,dst,NYJ,,11,4.3
2026-09-10,2026,1,dst,NYJ,,12,7.2
2026-09-10,2026,1,dst,NYJ,,14,4.4
2026-09-10,2026,1,dst,NYJ,,15,6.8
2026-09-10,2026,1,dst,NYJ,,16,4.0
2026-09-10,2026,1,dst,NYJ,,17,6.2
2026-09-10,2026,1,dst,NYJ,,avg,5.5
2026-09-10,2026,1,dst,NYJ,,playoffs,5.7
2026-09-10,2026,1,dst,KC,,1,6.5
2026-09-10,2026,1,dst,KC,,2,6.3
2026-09-10,2026,1,dst,KC,,3,8.2
