player,position,team,aav,pos_avg,ratio,points,proj_rank,adp,floor,ceiling,uncertainty
Trevor Lawrence,QB,JAC,7.37,8.1,0.905,378.0,8.0,84.1,346.0,404.0,44
Matthew Stafford,QB,LAR,7.19,8.1,0.883,375.0,10.0,93.6,353.0,414.0,69
Matthew Stafford,QB,LAR,7.19,8.1,0.883,375.0,11.0,93.6,353.0,414.0,69
Bo Nix,QB,DEN,6.2,8.1,0.762,372.0,12.0,102.0,340.0,412.0,53
Quinshon Judkins,RB,CLE,16.8,19.0,0.886,224.0,20.0,48.4,196.0,272.0,68
Bucky Irving,RB,TB,16.2,19.0,0.855,227.0,19.0,47.9,206.0,266.0,58
Bhayshul Tuten,RB,JAC,15.4,19.0,0.812,208.0,22.0,56.2,192.0,223.0,19
George Kittle,TE,SF,7.9,8.6,0.916,188.0,6.0,82.2,171.0,221.0,48
Tucker Kraft,TE,GB,7.23,8.6,0.838,175.0,10.0,75.3,160.0,193.0,18
Kyle Pitts,TE,ATL,7.18,8.6,0.833,186.0,7.0,78.0,183.0,192.0,2
Sam LaPorta,TE,DET,6.87,8.6,0.797,178.0,9.0,79.0,163.0,198.0,20
Harold Fannin,TE,CLE,5.77,8.6,0.669,200.0,4.0,76.0,166.0,233.0,56
Travis Kelce,TE,KC,5.4,8.6,0.626,179.0,8.0,100.0,168.0,196.0,14
Terry McLaurin,WR,WAS,13.8,15.8,0.876,213.0,25.0,59.8,195.0,231.0,6
Jameson Williams,WR,DET,12.7,15.8,0.806,222.0,20.0,60.4,208.0,242.0,13
Luther Burden,WR,CHI,12.7,15.8,0.806,216.0,24.0,63.0,188.0,264.0,56
Christian Watson,WR,GB,10.7,15.8,0.679,198.0,30.0,71.6,187.0,207.0,2
Rome Odunze,WR,CHI,10.0,15.8,0.635,209.0,27.0,67.5,190.0,238.0,26
Mike Evans,WR,SF,10.0,15.8,0.635,201.0,29.0,77.6,183.0,219.0,16
