pos,player,2023,2024,2025,2023_keeper,2024_keeper,2025_keeper
WR,Justin Jefferson,75,52,52,,,k
RB,Bijan Robinson,53,58,68,,k,
RB,Ashton Jeanty,,,66,,,
WR,Ja'Marr Chase,65,53,53,,,k
WR,CeeDee Lamb,40,45,65,,k,
RB,Austin Ekeler,62,6,5,,,
RB,Saquon Barkley,47,52,61,,k,
WR,Tyreek Hill,58,57,32,,,
RB,Christian McCaffrey,55,57,49,,k,
WR,Davante Adams,57,37,31,,,
RB,Josh Jacobs,41,37,56,,,
WR,A.J. Brown,42,55,48,,,
RB,Derrick Henry,52,34,34,,,k
RB,Tony Pollard,52,1,15,,,
TE,Travis Kelce,51,21,7,,,
RB,Nick Chubb,51,1,3,,,
WR,Stefon Diggs,49,27,11,,,
WR,Amon-Ra St. Brown,39,44,48,,k,
WR,Garrett Wilson,42,45,23,,k,
QB,Josh Allen,44,29,27,,,
RB,Travis Etienne Jr.,39,44,3,,,
WR,Marvin Harrison Jr.,,42,42,,,k
RB,Omarion Hampton,,,42,,,
WR,Chris Olave,30,41,15,,,
QB,Patrick Mahomes,40,22,18,,,
RB,Joe Mixon,38,30,1,,,
WR,Mike Evans,8,37,22,,,
WR,Drake London,7,37,37,,,k
WR,Cooper Kupp,36,26,7,,,
RB,Rachaad White,15,36,5,,,
RB,Jahmyr Gibbs,32,35,35,,k,k
WR,Jaylen Waddle,34,18,19,,,
QB,Jalen Hurts,33,31,19,,,
RB,Kenneth Walker III,13,33,32,,,
QB,Lamar Jackson,31,21,32,,,
WR,Tee Higgins,31,12,12,,,k
RB,RJ Harvey,,,31,,,
QB,Joe Burrow,30,11,17,,,
WR,DeVonta Smith,30,16,17,,,
RB,Najee Harris,30,4,1,,,
RB,James Cook,15,29,,,,
WR,Nico Collins,2,28,28,,,k
WR,Malik Nabers,,28,28,,,k
RB,Isiah Pacheco,9,12,27,,k,
WR,Rashee Rice,,6,27,,k,
WR,DK Metcalf,26,26,26,,,
RB,Rhamondre Stevenson,26,7,15,,,
RB,Jonathan Taylor,21,26,26,,k,k
RB,TreVeyon Henderson,,,26,,,
RB,Kaleb Johnson,,,26,,,
RB,Aaron Jones,25,16,,,,
WR,Deebo Samuel Sr.,,25,,,,
TE,T.J. Hockenson,24,4,17,,,
RB,Alvin Kamara,18,23,24,,k,
WR,Keenan Allen,24,11,3,,,
TE,George Kittle,8,15,24,,,
RB,Dameon Pierce,23,,,,,
QB,Justin Fields,22,,5,,,
WR,Calvin Ridley,22,13,12,,,
WR,Xavier Worthy,,15,22,,,
WR,Emeka Egbuka,,,22,,,
RB,James Cook III,,,21,,,
WR,Tetairoa McMillan,,,21,,,
WR,DJ Moore,17,20,20,,k,k
TE,Mark Andrews,20,12,7,,,
RB,Alexander Mattison,20,,,,,
QB,Baker Mayfield,,,20,,,
WR,Deebo Samuel,19,,10,,,
TE,Dalton Kincaid,8,19,7,,,
RB,Breece Hall,12,17,19,,k,
QB,Justin Herbert,18,2,5,,,
WR,Amari Cooper,18,11,,,,
RB,J.K. Dobbins,7,1,18,,,
WR,Zay Flowers,15,18,13,,k,
WR,Courtland Sutton,5,2,18,,,
RB,James Conner,14,17,15,,,
QB,Caleb Williams,,17,17,,,k
RB,Jordan Mason,,1,17,,,
RB,Aaron Jones Sr.,,,17,,,
RB,Jacory Croskey-Merritt,,,17,,,
WR,Ricky Pearsall,,,17,,,
WR,Chris Godwin,16,11,,,,
TE,Sam LaPorta,4,7,16,,k,
TE,Isaiah Likely,,16,,,,
RB,Kene Nwangwu,,,16,,,
WR,Diontae Johnson,15,9,,,,
WR,Theo Wease Jr.,,,15,,,
RB,Donovan Edwards,,,15,,,
WR,Nick Nash,,,15,,,
TE,Caleb Lohner,,,15,,,
WR,George Pickens,7,14,9,,,
WR,Matthew Golden,,,14,,,
RB,Javonte Williams,8,4,13,,,
WR,Brandon Aiyuk,10,13,1,,k,
QB,Jared Goff,2,13,3,,,
WR,Rome Odunze,,9,13,,,
RB,Jonathon Brooks,,13,,,,
WR,DeAndre Hopkins,12,1,,,,
WR,Mike Williams,12,2,,,,
TE,Darren Waller,12,,1,,,
RB,David Montgomery,11,8,10,,,
RB,D'Andre Swift,6,8,11,,k,
WR,Christian Watson,11,6,,,,
WR,Tyler Lockett,11,1,,,,
RB,Zach Charbonnet,6,,11,,,
RB,Dalvin Cook,11,,,,,
QB,Dak Prescott,8,11,4,,,
RB,Chase Brown,,3,11,,,k
QB,Trevor Lawrence,10,1,1,,,
RB,Khalil Herbert,10,,,,,
WR,Christian Kirk,9,10,1,,,
WR,Terry McLaurin,10,10,10,,,k
TE,Jake Ferguson,,10,1,,,
RB,Corey Kiner,,,10,,,
TE,Colston Loveland,,,10,,,
TE,Tyler Warren,,,10,,,
TE,Kyle Pitts,7,9,,,k,
RB,Cam Akers,9,,,,,
RB,Miles Sanders,9,,,,,
RB,Raheem Mostert,4,9,,,k,
WR,Jerry Jeudy,9,4,0,,,k
TE,Dallas Goedert,9,3,1,,,
WR,Jahan Dotson,9,,,,,
TE,Brock Bowers,,9,9,,,k
QB,Kyler Murray,,9,4,,,
RB,Blake Corum,,9,,,,
WR,Khalil Shakir,,4,9,,,
RB,Jerome Ford,,9,1,,,
WR,Darius Cooper,,,9,,,
QB,Bo Nix,,,9,,,
QB,Kirk Cousins,8,7,,,,
TE,Evan Engram,2,7,8,,k,
WR,Jaxon Smith-Njigba,3,8,8,,k,k
WR,Brandin Cooks,8,,,,,
WR,Quentin Johnston,8,,,,,
WR,Travis Hunter,,,8,,,
QB,Deshaun Watson,7,2,,,,
TE,Taysom Hill,1,7,,,,
WR,Jayden Reed,,7,1,,,
WR,Brian Thomas Jr.,,7,7,,,k
WR,Jordan Addison,6,3,2,,,
RB,Brian Robinson Jr.,3,6,1,,,
RB,De'Von Achane,1,6,6,,k,k
WR,Michael Pittman Jr.,3,6,1,,k,
TE,David Njoku,1,6,5,,,
WR,Puka Nacua,1,6,6,,k,k
TE,Trey McBride,,6,6,,k,k
RB,Kyren Williams,,6,6,,k,k
RB,Zamir White,,6,,,k,
QB,Jordan Love,,6,6,,k,k
WR,Keon Coleman,,4,6,,,
RB,Chuba Hubbard,,6,6,,,k
WR,Chandler Brayboy,,,6,,,
QB,Anthony Richardson,2,5,,,k,
WR,Jakobi Meyers,1,1,5,,,
WR,Darnell Mooney,5,1,1,,,
WR,Marvin Mims Jr.,5,,1,,,
RB,Samaje Perine,5,,,,,
RB,Jaylen Warren,2,2,5,,,
RB,Jamaal Williams,5,,,,,
RB,Tyjae Spears,1,5,,,,
DST,Jets D/ST,1,5,,,,
RB,Devin Singletary,1,5,,,,
QB,Jayden Daniels,,5,5,,,k
QB,Kyle McCord,,,5,,,
WR,Chris Godwin Jr.,,,5,,,
K,Harrison Butker,2,4,1,,,
RB,AJ Dillon,4,,,,,
RB,Tank Bigsby,4,,1,,,
WR,Gabe Davis,4,,,,,
RB,Rashaad Penny,4,,,,,
RB,Roschon Johnson,4,,,,,
WR,Michael Thomas,4,,,,,
QB,Brock Purdy,4,3,3,,,
QB,C.J. Stroud,,4,1,,k,
WR,Tank Dell,,4,,,k,
WR,Ladd McConkey,,4,4,,,k
WR,Jayden Higgins,,,4,,,
K,Justin Tucker,3,1,,,,
WR,Treylon Burks,3,,,,,
DST,Steelers D/ST,1,2,3,,,
K,Jake Elliott,1,3,1,,,
QB,Aaron Rodgers,2,3,,,,
QB,Tua Tagovailoa,1,3,2,,,
DST,Ravens D/ST,1,3,2,,,
TE,Tyler Higbee,3,,,,,
WR,Kadarius Toney,3,,,,,
WR,Odell Beckham Jr.,3,,,,,
WR,Jameson Williams,1,3,3,,,k
K,Brandon Aubrey,,3,3,,,
