feature,label,n,spearman,p,position
prior_ppg,Prior PPG,625,0.659,5.60024978697039e-79,QB
prior_total_tds,Prior total TDs,625,0.647,2.1682811586519047e-75,QB
prior2_ppg,PPG 2yrs ago,485,0.57,3.7828250630324465e-43,QB
prior_passing_yards_pg,Prior pass yds/g,625,0.559,1.2305112060204194e-52,QB
prior_games,Prior games played,625,0.557,3.497103141347423e-52,QB
prior_attempts_pg,Prior pass att/g,625,0.489,6.20679818707629e-39,QB
prior_off_pct,Prior snap %,506,0.484,4.108062499616871e-31,QB
prior_passing_epa,Prior pass EPA,620,0.457,2.1974944596676228e-33,QB
prior_cv,Prior coeff. of variation,625,-0.444,1.6731958583982192e-31,QB
draft_pick,Draft pick,625,-0.389,5.698006234320377e-24,QB
draft_round,Draft round,625,-0.375,2.4388278560604545e-22,QB
team_change,Changed team,625,-0.363,6.351603160558461e-21,QB
prior_carries_pg,Prior carries/g,625,0.313,1.0857782125138427e-15,QB
prior_rushing_yards_pg,Prior rush yds/g,625,0.307,4.528721580515439e-15,QB
prior_rec_td_rate,Prior rec TD/yd,90,0.255,0.01535654977289233,QB
prior_ppr_std,Prior weekly std,625,0.24,1.2856324257766078e-09,QB
prior_rush_td_rate,Prior rush TD/yd,618,0.223,2.264164971713638e-08,QB
prior_receiving_epa,Prior rec EPA,109,0.201,0.03586323761106077,QB
prior_rushing_epa,Prior rush EPA,622,0.184,3.963817836048354e-06,QB
forty,40 time,499,-0.102,0.023153658053162267,QB
prior_wopr,Prior WOPR,625,0.094,0.018917217737785017,QB
prior_target_share,Prior target share,625,0.089,0.026047782859592698,QB
prior_receiving_yards_pg,Prior rec yds/g,625,0.081,0.04385445257528663,QB
prior_targets_pg,Prior targets/g,625,0.072,0.07235128703270381,QB
prior_receptions_pg,Prior rec/g,625,0.047,0.23781386689887077,QB
years_exp,Years exp,625,0.03,0.4515913257784523,QB
weight,Weight,625,0.026,0.5166357970873778,QB
age,Age,625,-0.017,0.6791486866798017,QB
prior_air_yards_share,Prior air-yards share,625,-0.012,0.7646250132974894,QB
prior_ppg,Prior PPG,1380,0.697,1.9759243218098383e-201,RB
prior_rushing_yards_pg,Prior rush yds/g,1380,0.659,1.614031262690547e-172,RB
prior_off_pct,Prior snap %,998,0.657,2.1815309294442566e-124,RB
prior_carries_pg,Prior carries/g,1380,0.639,3.984913312012081e-159,RB
prior_total_tds,Prior total TDs,1380,0.617,7.955355220661804e-146,RB
