position,draft_bucket,mean,count
QB,R1 top15,15.28329759663809,254
QB,R1-2,14.370581243307347,104
QB,R3-4,10.31830877494986,96
QB,R5-7,10.408372603586889,84
QB,UDFA,7.563834859265894,87
RB,R1 top15,13.169949275664136,95
RB,R1-2,9.774188897225155,116
RB,R3-4,9.90155300215422,307
RB,R5-7,6.156281988176169,414
RB,UDFA,4.897104490561523,448
TE,R1 top15,9.397572007100406,29
TE,R1-2,7.681264955045975,128
TE,R3-4,6.994974605820736,285
TE,R5-7,4.558700010759861,358
TE,UDFA,3.2384225133723135,353
WR,R1 top15,11.831630441314056,175
WR,R1-2,9.862777543869894,268
WR,R3-4,8.707004279264153,560
WR,R5-7,6.255481204485018,405
WR,UDFA,4.943765884840256,681
