season,overall_pick,round,round_pick,team,owner,player,pos,bid,keeper
2023,1,1,1,"Hahaha nice name, i got nothing",Rohabhabibo,Justin Jefferson,WR,75,False
2023,2,1,2,De'Von Corleone,BobbyeddyB,Austin Ekeler,RB,62,False
2023,3,1,3,"Hahaha nice name, i got nothing",Rohabhabibo,Justin Tucker,K,3,False
2023,4,1,4,"Hahaha nice name, i got nothing",Rohabhabibo,Christian McCaffrey,RB,55,False
2023,5,1,5,Nacua please!!,silverandblack.27,Ja'Marr Chase,WR,65,False
2023,6,1,6,Team 2ITP 1ITS,ESPNFAN25233150,Tyreek Hill,WR,58,False
2023,7,1,7,Rollin' with Ma-homes,eyedocjj,Davante Adams,WR,57,False
2023,8,1,8,3AM  No Limit,espn14211458,Tee Higgins,WR,31,False
2023,9,1,9,Team 2ITP 1ITS,ESPNFAN25233150,Eagles D/ST,DST,2,False
2023,10,1,10,Rollin' with Ma-homes,eyedocjj,Derrick Henry,RB,52,False
2023,11,1,11,Nacua please!!,silverandblack.27,Josh Jacobs,RB,41,False
2023,12,1,12,Ugh...Yeah...What...Football!,kdoggs80,Josh Allen,QB,44,False
2023,13,2,1,Etienne all the Capicola,CBPainTrain,Justin Fields,QB,22,False
2023,14,2,2,Chasin' the Dream,RPT0777,49ers D/ST,DST,2,False
2023,15,2,3,"Hahaha nice name, i got nothing",Rohabhabibo,Dolphins D/ST,DST,1,False
2023,16,2,4,Chasin' the Dream,RPT0777,Saquon Barkley,RB,47,False
2023,17,2,5,Hand motion @ 6 inches,espn19238790,Bijan Robinson,RB,53,False
2023,18,2,6,You gonna get Butkus'd,funblood,Stefon Diggs,WR,49,False
2023,19,2,7,Ugh...Yeah...What...Football!,kdoggs80,Tony Pollard,RB,52,False
2023,20,2,8,Chasin' the Dream,RPT0777,Amon-Ra St. Brown,WR,39,False
2023,21,2,9,De'Von Corleone,BobbyeddyB,Travis Kelce,TE,51,False
2023,22,2,10,ILM Matt Ulrich aka Chest,espn98580191,Cooper Kupp,WR,36,False
2023,23,2,11,Nacua please!!,silverandblack.27,Nick Chubb,RB,51,False
2023,24,2,12,Rollin' with Ma-homes,eyedocjj,Joe Burrow,QB,30,False
2023,25,3,1,Nacua please!!,silverandblack.27,Daniel Carlson,K,2,False
2023,26,3,2,Etienne all the Capicola,CBPainTrain,Patrick Mahomes,QB,40,False
2023,27,3,3,"Hahaha nice name, i got nothing",Rohabhabibo,David Montgomery,RB,11,False
2023,28,3,4,Etienne all the Capicola,CBPainTrain,A.J. Brown,WR,42,False
2023,29,3,5,De'Von Corleone,BobbyeddyB,CeeDee Lamb,WR,40,False
