season,team_id,team,owner,rank_final,playoff_seed,wins,losses,ties,points_for,points_against,keeper_bump
2023,12,Chasin' the Dream,RPT0777,1,3,10,4,0,1657.1,1627.0,5
2023,3,You gonna get Butkus'd,funblood,2,4,9,5,0,1699.4,1594.0,5
2023,13,Ugh...Yeah...What...Football!,kdoggs80,3,2,9,5,0,1843.8,1726.5,5
2023,10,Team 2ITP 1ITS,ESPNFAN25233150,4,1,11,3,0,1724.7,1559.3,5
2023,5,De'Von Corleone,BobbyeddyB,5,5,7,7,0,1846.1,1744.9,5
2023,8,Etienne all the Capicola,CBPainTrain,6,6,7,7,0,1631.3,1658.9,5
2023,7,Nacua please!!,silverandblack.27,7,11,5,9,0,1521.5,1680.0,3
2023,11,"Hahaha nice name, i got nothing",Rohabhabibo,8,10,5,9,0,1623.5,1699.3,3
2023,9,Hand motion @ 6 inches,espn19238790,9,9,5,9,0,1643.0,1628.1,3
2023,1,ILM Matt Ulrich aka Chest,espn98580191,10,7,6,8,0,1539.0,1604.9,3
2023,2,Rollin' with Ma-homes,eyedocjj,11,12,4,10,0,1627.0,1710.5,3
2023,4,3AM  No Limit,espn14211458,12,8,6,8,0,1528.8,1651.9,3
2024,5,Lucero's Bail Bonds,BobbyeddyB,1,1,12,1,0,1803.5,1358.1,5
2024,13,Ugh...Yeah...What...Football!,kdoggs80,2,2,10,3,0,1808.3,1522.4,5
2024,7,The Replacements,silverandblack.27,3,4,7,6,0,1422.9,1496.9,5
2024,8,Etienne all the Capicola,CBPainTrain,4,6,5,8,0,1477.1,1678.7,5
2024,4,3AM  No Limit,espn14211458,5,5,6,6,0,1506.8,1540.5,5
2024,12,Lambeau Calrissian,RPT0777,6,3,10,3,0,1675.9,1521.5,5
2024,1,Rolling with Younghoes,espn98580191,7,10,4,9,0,1547.9,1488.5,0
2024,9,Da'Kine Bail Bonds,espn19238790,8,7,4,8,0,1360.5,1452.9,3
2024,11,"Hahaha nice name, i got nothing",Rohabhabibo,9,8,4,8,0,1267.9,1494.2,3
2024,3,We call this the hail mary!,funblood,10,9,4,9,0,1610.5,1750.4,3
2024,2,To be A. Rich I need a Pacheco,eyedocjj,11,11,4,9,0,1380.2,1557.1,3
2025,4,3AM  No Limit,espn14211458,1,2,10,4,0,1773.7,1692.7,5
2025,7,65 Dolla Make You Holla,silverandblack.27,2,5,8,6,0,1757.4,1711.9,5
2025,5,Saja Boys,BobbyeddyB,3,1,10,4,0,1913.3,1598.1,5
2025,14,Paul's Perfect Team,ESPNFAN25233150,4,6,7,7,0,1719.8,1660.5,5
2025,2,K-Pop and Lock,eyedocjj,5,4,9,5,0,1550.3,1531.7,5
2025,1,A Useless Johnson,espn98580191,6,3,9,5,0,1699.9,1525.2,5
2025,3,Spitting away the chase,funblood,7,8,7,7,0,1647.3,1680.9,3
2025,8,Rectify this,CBPainTrain,8,11,4,10,0,1439.2,1686.4,3
2025,11,Maple Maulers,Rohabhabibo,9,12,4,10,0,1389.4,1736.7,3
2025,9,State your name,espn19238790,10,9,5,9,0,1716.4,1782.0,3
2025,13,Ugh...Yeah...What...Football!,kdoggs80,11,10,4,10,0,1643.7,1677.6,0
2025,12,Micahroni and Cheese,RPT0777,12,7,7,7,0,1696.1,1662.6,3
