feature,importance
ffa_dropoff,468
ffa_sd,415
ffa_uncertainty,354
prior_ppr_std,353
prior_ppg,347
prior2_ppg,336
weight,333
draft_pick,326
ffa_adp,326
prior_receiving_epa,316
prior_off_pct,316
prior_cv,313
ffa_ceiling,302
ffa_floor,287
forty,280
ffa_points,279
prior_rushing_epa,277
prior_rec_td_rate,267
prior_receptions_pg,240
ffa_rank,233
ffa_vor,227
prior_receiving_yards_pg,206
prior_rush_td_rate,199
ffa_pos_rank,198
prior_carries_pg,198
prior_air_yards_share,193
prior_target_share,190
prior_rushing_yards_pg,178
prior_targets_pg,171
prior_games,169
age,165
prior_wopr,144
prior_total_tds,113
ffa_tier,109
years_exp,83
prior_attempts_pg,81
prior_passing_yards_pg,59
prior_passing_epa,59
team_change,49
draft_round,36
pos_id,5
