name,position,team,age,years_exp,is_rookie,draft_round,exp_price,prior_ppg,prior_snap_pct,prior_target_share,vac_pc_targets,vac_rb_carries,ht_d_ppg,proj_pts,prob_raw,p_hit,young,player_id
Jerry Jeudy,WR,CLE,27.0,6.0,0,1.0,1.0,7.1000000000000005,0.8452941176470589,0.20306513409961685,53.0,34.0,10.535,117.5722429906542,0.5281483798793347,0.3963249906260399,0,00-0036407
Garrett Wilson,WR,NYJ,26.0,4.0,0,1.0,0.0,14.214285714285714,0.8699999999999999,0.125,114.0,16.0,-5.285,124.99233644859814,0.3079914110310783,0.3963249906260399,0,00-0037740
Zach Ertz,TE,WAS,36.0,13.0,0,2.0,1.0,9.723076923076924,0.6646153846153846,0.16666666666666666,,,4.203,125.3255172413793,0.15212005259379635,0.3845377159049677,0,00-0030061
Omar Cooper Jr.,WR,NYJ,22.0,0.0,1,1.0,0.0,,,,,,,116.79894164582818,0.16109105472255675,0.3828644792824488,1,COO816508
Matthew Golden,WR,GB,23.0,1.0,0,1.0,0.0,5.0,0.532142857142857,0.09565217391304348,153.0,125.0,,116.79794392523365,0.14730915762039415,0.37619959310749146,1,00-0040667
Xavier Legette,WR,CAR,25.0,2.0,0,1.0,1.0,5.953333333333334,0.6786666666666668,0.13333333333333333,26.0,236.0,-2.646,85.39485981308411,0.17405358186781297,0.35649265346494985,1,00-0039342
Pat Freiermuth,TE,PIT,28.0,5.0,0,2.0,1.0,7.573333333333333,0.5035294117647058,0.10344827586206896,191.0,114.0,3.939,102.06620689655172,0.11072892931505175,0.35163796266631314,0,00-0036894
Chig Okonkwo,TE,TEN,27.0,4.0,0,4.0,1.5,7.294117647058823,0.6370588235294118,0.1490566037735849,,,3.725,87.4551724137931,0.14704980560016204,0.35002646640150126,0,00-0037809
Germie Bernard,WR,PIT,22.0,0.0,1,2.0,0.0,,,,,,,103.37000137957565,0.07879914189726012,0.3452125935688199,1,BER218265
Bhayshul Tuten,RB,JAX,24.0,1.0,0,4.0,1.0,5.906666666666666,0.21133333333333332,0.025594149908592323,80.0,260.0,,81.78875000000001,0.15444131950912995,0.3436149378630021,1,00-0040719
Tre Harris,WR,LAC,24.0,1.0,0,2.0,1.0,4.3375,0.4852941176470588,0.07904411764705882,152.0,32.0,,102.40588785046727,0.061391013903657844,0.33568019372555247,1,00-0040727
Rashid Shaheed,WR,SEA,28.0,4.0,0,8.0,1.0,8.700000000000001,0.6088888888888889,0.16283185840707964,3.0,229.0,,83.65121495327104,0.10286149027912941,0.32472636325286114,0,00-0037545
Eli Stowers,TE,PHI,23.0,0.0,1,2.0,0.0,,,,,,,81.0783220971839,0.12043512028083676,0.32472636325286114,1,STO806346
Tank Bigsby,RB,PHI,24.0,3.0,0,3.0,1.0,3.586666666666667,0.12647058823529414,0.007312614259597806,168.0,12.0,-2.486,93.47250000000001,0.05865151714082436,0.32008908695945965,0,00-0038555
Andrei Iosivas,WR,CIN,27.0,3.0,0,6.0,1.0,5.993333333333334,0.7617647058823529,0.09539473684210527,41.0,0.0,1.081,106.3628971962617,0.0452670132779821,0.31855113767748455,0,00-0038619
Adonai Mitchell,WR,NYJ,24.0,2.0,0,2.0,1.0,5.49375,0.50625,0.13962264150943396,114.0,16.0,0.024,89.81252336448597,0.06072865410648001,0.31855113767748455,1,00-0039890
Jayden Reed,WR,GB,26.0,3.0,0,2.0,0.0,9.7,0.4114285714285714,0.04782608695652174,153.0,125.0,-6.778,88.0742523364486,0.06137031713795086,0.31855113767748455,0,00-0039146
Blake Corum,RB,LA,26.0,2.0,0,3.0,1.0,7.188235294117647,0.2911764705882353,0.024096385542168676,15.0,0.0,0.694,101.9375,0.04950214801934114,0.31625161605004204,1,00-0039738
Elijah Arroyo,TE,SEA,23.0,1.0,0,2.0,0.0,2.838461538461539,0.39538461538461545,0.05714285714285714,3.0,229.0,,76.1103448275862,0.19219561746399458,0.3109210090317348,1,00-0040739
Cole Kmet,TE,CHI,27.0,6.0,0,2.0,1.0,4.91875,0.714375,0.09022556390977443,161.0,1.0,-5.968,93.8906896551724,0.04525519719484119,0.3063914290652518,0,00-0036290
Michael Mayer,TE,LV,25.0,3.0,0,2.0,1.0,5.676923076923078,0.6176923076923078,0.10121457489878542,58.0,34.0,1.779,74.72551724137931,0.1830518648863078,0.30488978100067476,0,00-0039066
Evan Engram,TE,DEN,32.0,9.0,0,1.0,1.0,6.425000000000001,0.42125000000000007,0.13013698630136986,0.0,0.0,-1.61,78.81810344827585,0.0702439605658601,0.300409760288498,0,00-0033881
Pat Bryant,WR,DEN,24.0,1.0,0,3.0,1.0,5.753846153846155,0.4766666666666666,0.0839041095890411,0.0,0.0,,83.57154205607476,0.05386107065561573,0.29892479424761714,1,00-0040134
Marvin Mims Jr.,WR,DEN,24.0,3.0,0,2.0,1.0,6.333333333333333,0.36866666666666664,0.08732876712328767,0.0,0.0,12.811,83.36551401869158,0.05711288822693007,0.29892479424761714,0,00-0038976
Terrance Ferguson,TE,LA,23.0,1.0,0,2.0,1.0,4.736363636363636,0.36714285714285716,0.043029259896729774,15.0,0.0,,76.83103448275862,0.13672569795159703,0.29892479424761714,1,00-0040737
