feature,importance
prior_cv,547
prior_receiving_epa,508
prior_ppr_std,483
ecr,473
prior_ppg,463
prior_off_pct,463
weight,442
prior2_ppg,436
forty,423
pos_rank,399
draft_pick,366
prior_rushing_epa,356
prior_rec_td_rate,331
prior_target_share,323
prior_receptions_pg,321
prior_targets_pg,315
prior_air_yards_share,276
prior_rushing_yards_pg,265
prior_receiving_yards_pg,255
prior_wopr,242
prior_games,233
prior_carries_pg,221
age,203
prior_rush_td_rate,202
years_exp,163
prior_total_tds,143
prior_attempts_pg,119
team_change,90
draft_round,47
prior_passing_epa,40
prior_passing_yards_pg,33
pos_id,19
