feature,importance
prior2_ppg,960
prior_ppg,900
prior_cv,824
prior_ppr_std,816
draft_pick,743
prior_off_pct,731
weight,711
prior_receiving_epa,692
prior_air_yards_share,679
prior_rushing_epa,639
forty,584
prior_rec_td_rate,554
prior_target_share,541
prior_games,511
age,510
prior_receiving_yards_pg,492
prior_rushing_yards_pg,464
prior_receptions_pg,457
prior_targets_pg,435
prior_carries_pg,428
years_exp,389
prior_wopr,385
prior_rush_td_rate,371
prior_total_tds,272
team_change,223
prior_attempts_pg,203
prior_passing_yards_pg,157
prior_passing_epa,155
draft_round,132
pos_id,42
