Analyst,Model,Player,ID,Pos,Team,Opp,Game,Kickoff,Proj,Median,Floor_p10,p25,p75,Ceiling_p90,StdDev,Injury,Status,Note,pass_yds,pass_tds,pass_int,rush_yds,rush_tds,rec,rec_yds,rec_tds,fumbles_lost,fg_made,fg_40plus,xp_made,sacks,ints,def_td,pts_allowed_exp,Generated
Robert Burke,Model_Burke v1,Puka Nacua,00-0039075,WR,LA,SF,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,21.38,20.25,10.9,14.64,26.02,33.85,8.43,Q,,,0.0,0.0,0.0,5.23,0.06,7.13,95.34,0.64,0.0,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Matthew Stafford,00-0026498,QB,LA,SF,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,17.49,17.37,7.77,12.04,22.8,27.38,7.97,,,,255.48,2.08,0.71,5.04,0.01,0.0,0.0,0.0,0.1,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Christian McCaffrey,00-0033280,RB,SF,LA,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,17.05,15.69,7.79,11.03,22.11,28.7,8.21,Q,,,0.0,0.0,0.0,60.6,0.29,4.22,38.43,0.21,0.06,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Brock Purdy,00-0037834,QB,SF,LA,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,16.69,16.41,6.37,11.18,21.9,27.25,7.94,,,,245.23,1.64,0.98,18.03,0.16,0.0,0.0,0.0,0.25,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Davante Adams,00-0031381,WR,LA,SF,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,14.23,13.72,3.87,8.2,19.6,24.67,8.45,,,,0.0,0.0,0.0,0.0,0.0,4.17,57.19,0.72,0.0,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Kyren Williams,00-0037840,RB,LA,SF,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,13.57,12.44,5.34,8.76,18.08,22.79,6.91,,,,0.0,0.0,0.0,63.36,0.63,1.62,12.94,0.12,0.1,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Mike Evans,00-0031408,WR,SF,LA,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,11.18,9.58,3.28,5.58,15.72,21.42,7.51,Q,,,0.0,0.0,0.0,0.0,0.0,4.15,50.91,0.32,0.0,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,George Kittle,00-0033288,TE,SF,LA,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,10.44,9.16,2.98,5.5,14.5,19.91,6.66,Q,,,0.0,0.0,0.0,-0.04,0.0,4.19,45.75,0.28,0.0,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Deebo Samuel,00-0035719,WR,SF,LA,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,10.05,8.72,2.47,4.5,13.39,19.34,6.59,,,,0.0,0.0,0.0,5.35,0.03,4.04,40.78,0.2,0.0,,,,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Harrison Mevis,,K,LA,SF,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,8.05,8.05,2.82,5.23,10.87,13.68,4.02,,,,,,,,,,,,,1.37,0.57,3.24,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Eddy Pineiro,,K,SF,LA,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,7.57,7.57,2.65,4.92,10.22,12.86,3.78,,,,,,,,,,,,,1.48,0.59,2.3,,,,,2026-09-10 14:09 ET
Robert Burke,Model_Burke v1,Blake Corum,00-0039738,RB,LA,SF,San Francisco 49ers @ Los Angeles Rams,Thu 09/10 08:35 PM ET,7.45,6.02,1.38,2.97,10.17,16.29,5.33,,,,0.0,0.0,0.0,47.65,0.22,0.84,4.69,0.01,0.0,,,,,,,,2026-09-10 14:09 ET
