Analyst,Model,Player,ID,Pos,Team,Opp,Game,Kickoff,Proj,Median,Floor_p10,p25,p75,Ceiling_p90,StdDev,Injury,Status,Note,pass_yds,pass_tds,pass_int,rush_yds,rush_tds,rec,rec_yds,rec_tds,fg_made,fg_40plus,xp_made,sacks,ints,def_td,pts_allowed_exp,Generated
Robert Burke,Model_Burke v1,Jaxon Smith-Njigba,00-0038543,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,18.06,17.09,8.38,11.43,22.97,29.33,8.55,,,,0.0,0.0,0.0,1.55,0.01,6.36,85.09,0.5,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Drake Maye,00-0039851,QB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,16.56,16.44,6.48,11.23,21.35,26.48,7.5,,,,231.93,1.43,0.78,27.25,0.18,0.0,0.0,0.0,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Rhamondre Stevenson,00-0036875,RB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,15.73,14.74,6.84,10.75,19.78,24.81,6.69,,,+1.8 with TreVeyon Henderson out,0.0,0.0,0.0,64.27,0.47,3.26,25.76,0.16,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,A.J. Brown,00-0035676,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,14.86,14.88,4.9,8.73,20.17,24.76,8.48,,,,0.0,0.0,0.0,0.01,0.0,5.63,68.03,0.4,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Sam Darnold,00-0034869,QB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,14.56,14.28,4.99,9.05,19.68,24.15,7.87,,,,232.26,1.55,0.8,6.71,0.08,0.0,0.0,0.0,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Jadarian Price,,RB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,11.49,10.08,3.51,6.23,16.0,21.44,7.24,,,,0.0,0.0,0.0,54.01,0.58,1.6,10.43,0.03,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Jason Myers,,K,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,8.9,8.9,3.11,5.78,12.01,15.13,4.45,,,,,,,,,,,,1.86,0.88,2.19,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Romeo Doubs,00-0037816,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,8.88,7.32,1.93,3.88,12.34,18.51,6.27,,,,0.0,0.0,0.0,0.0,0.0,3.41,39.25,0.26,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Hunter Henry,00-0033090,TE,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,8.52,7.76,1.28,3.68,12.21,16.81,6.32,,,,0.0,0.0,0.0,0.0,0.0,3.32,35.8,0.27,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Rashid Shaheed,00-0037545,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,7.86,6.76,1.68,3.91,10.9,16.21,5.17,,,,0.0,0.0,0.0,3.47,0.01,2.8,35.11,0.2,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Cooper Kupp,00-0033908,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,7.68,6.58,1.8,3.63,10.65,14.44,5.2,,,,0.0,0.0,0.0,0.04,0.0,2.82,33.28,0.27,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Andres Borregales,,K,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,7.38,7.38,2.58,4.8,9.96,12.54,3.69,,,,,,,,,,,,1.34,0.42,2.77,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,AJ Barner,00-0039793,TE,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,6.98,6.1,1.17,2.68,9.69,14.35,5.19,,,,0.0,0.0,0.0,0.66,0.0,2.59,25.89,0.29,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Seahawks,,DST,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,6.81,6.81,2.38,4.43,9.19,11.57,3.4,,,,,,,,,,,,,,,2.64,0.68,0.17,20.8,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,George Holani,00-0039299,RB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,6.25,4.5,1.14,2.43,8.87,12.9,4.77,,,,0.0,0.0,0.0,21.18,0.29,1.33,9.93,0.03,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Demario Douglas,00-0038621,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,5.69,4.01,0.11,1.75,7.46,14.69,4.23,,,,0.0,0.0,0.0,0.37,0.0,2.4,24.79,0.13,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Patriots,,DST,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,4.58,4.58,1.6,2.98,6.18,7.78,2.29,,,,,,,,,,,,,,,1.52,0.64,0.1,23.8,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Tory Horton,00-0040648,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,4.16,2.69,0.0,0.76,6.04,10.71,3.91,Q,Q,,0.0,0.0,0.0,0.77,0.0,1.45,18.01,0.14,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Emanuel Wilson,00-0038797,RB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,4.07,2.73,0.11,0.94,5.78,10.61,3.59,,,,0.0,0.0,0.0,21.33,0.13,0.63,4.15,0.02,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Mack Hollins,00-0033555,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,3.92,2.34,0.0,0.51,5.85,9.79,3.95,,,,0.0,0.0,0.0,0.01,0.0,1.7,16.76,0.09,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Corey Kiner,00-0040556,RB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,3.19,2.06,0.22,0.74,4.41,9.14,2.72,,,+0.4 with TreVeyon Henderson out,0.0,0.0,0.0,12.87,0.12,0.64,4.83,0.01,,,,,,,,2026-09-09 17:13 ET
Robert Burke,Model_Burke v1,Eli Raridon,,TE,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,2.73,1.48,0.0,0.0,4.21,7.31,3.12,,,,0.0,0.0,0.0,0.0,0.0,1.13,11.49,0.07,,,,,,,,2026-09-09 17:13 ET
