Analyst,Model,Player,ID,Pos,Team,Opp,Game,Kickoff,Proj,Median,Floor_p10,p25,p75,Ceiling_p90,StdDev,Injury,Status,Note,pass_yds,pass_tds,pass_int,rush_yds,rush_tds,rec,rec_yds,rec_tds,fumbles_lost,fg_made,fg_40plus,xp_made,sacks,ints,def_td,pts_allowed_exp,Generated
Robert Burke,Model_Burke v1,Jaxon Smith-Njigba,00-0038543,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,17.75,16.76,8.11,11.07,22.59,28.94,8.53,,,,0.0,0.0,0.0,1.55,0.01,6.23,83.87,0.49,0.0,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Drake Maye,00-0039851,QB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,16.52,16.35,6.49,11.24,21.46,26.35,7.57,,,,232.58,1.44,0.78,26.19,0.19,0.0,0.0,0.0,0.35,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Rhamondre Stevenson,00-0036875,RB,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,15.58,14.61,7.05,10.85,19.83,24.54,6.65,,,+1.8 with TreVeyon Henderson out,0.0,0.0,0.0,66.87,0.47,2.74,26.88,0.16,0.16,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,A.J. Brown,00-0035676,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,14.76,14.7,4.75,8.81,20.08,24.51,8.35,,,,0.0,0.0,0.0,0.01,0.0,5.72,66.15,0.4,0.0,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Sam Darnold,00-0034869,QB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,14.48,14.19,5.04,9.03,19.7,24.24,7.9,,,,234.11,1.55,0.8,5.88,0.07,0.0,0.0,0.0,0.26,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Jadarian Price,,RB,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,11.55,9.97,3.6,6.22,16.04,21.64,7.27,,,,0.0,0.0,0.0,55.35,0.58,1.66,9.13,0.03,0.1,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Jason Myers,,K,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,8.9,8.9,3.11,5.78,12.01,15.13,4.45,,,,,,,,,,,,,1.86,0.88,2.19,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Romeo Doubs,00-0037816,WR,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,8.52,7.09,1.65,4.03,12.13,17.38,6.0,,,,0.0,0.0,0.0,0.0,0.0,3.32,37.17,0.25,0.0,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Hunter Henry,00-0033090,TE,NE,SEA,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,8.3,7.54,1.43,3.53,11.71,16.73,6.06,,,,0.0,0.0,0.0,0.0,0.0,3.23,34.65,0.27,0.0,,,,,,,,2026-09-09 18:22 ET
Robert Burke,Model_Burke v1,Rashid Shaheed,00-0037545,WR,SEA,NE,New England Patriots @ Seattle Seahawks,Wed 09/09 08:20 PM ET,7.77,6.82,1.85,3.9,10.71,14.56,5.05,,,,0.0,0.0,0.0,2.81,0.01,2.98,33.27,0.2,0.04,,,,,,,,2026-09-09 18:22 ET
